,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
217478,for_sale,3.0,2.0,0.34,Franklin,Massachusetts,2038.0,967.0,2021-04-29,499900.0
217480,for_sale,3.0,2.0,0.23,Providence,Rhode Island,2906.0,2023.0,2021-10-14,1095000.0
217490,for_sale,3.0,2.0,0.18,Canton,Massachusetts,2021.0,1247.0,2010-02-12,490000.0
217492,for_sale,3.0,1.0,0.51,Woonsocket,Rhode Island,2895.0,1450.0,2019-09-24,235000.0
217493,for_sale,3.0,2.0,0.07,Providence,Rhode Island,2908.0,1657.0,2017-10-16,320000.0
217496,for_sale,4.0,3.0,0.57,Cumberland,Rhode Island,2864.0,2795.0,2018-12-13,499900.0
217498,for_sale,2.0,2.0,0.07,Providence,Rhode Island,2908.0,1024.0,2009-06-02,249900.0
217500,for_sale,4.0,2.0,0.49,Cranston,Rhode Island,2921.0,1700.0,2004-12-29,409900.0
217502,for_sale,3.0,2.0,0.07,Providence,Rhode Island,2904.0,1597.0,2020-09-04,320000.0
217503,for_sale,4.0,3.0,0.27,Norwood,Massachusetts,2062.0,3026.0,1964-09-01,874900.0
217504,for_sale,3.0,2.0,1.49,North Smithfield,Rhode Island,2896.0,1977.0,2021-12-30,550000.0
217507,for_sale,6.0,2.0,0.15,East Providence,Rhode Island,2914.0,3102.0,2018-08-20,449900.0
217508,for_sale,3.0,2.0,0.1,Providence,Rhode Island,2908.0,1600.0,2001-05-18,350000.0
217509,for_sale,9.0,3.0,0.08,Providence,Rhode Island,2907.0,4303.0,2017-01-13,399000.0
217510,for_sale,3.0,2.0,0.05,Cumberland,Rhode Island,2864.0,1344.0,2006-08-31,334000.0
217511,for_sale,4.0,3.0,0.48,Attleboro,Massachusetts,2703.0,2146.0,2006-06-29,699900.0
217516,for_sale,4.0,3.0,0.88,Easton,Massachusetts,2375.0,2278.0,2008-03-03,699900.0
217523,for_sale,3.0,1.0,0.17,Johnston,Rhode Island,2919.0,1128.0,2015-05-14,349900.0
217532,for_sale,3.0,3.0,0.14,Woonsocket,Rhode Island,2895.0,1808.0,2011-01-10,249900.0
217535,for_sale,3.0,2.0,0.06,Providence,Rhode Island,2907.0,1078.0,2018-01-26,259900.0
217537,for_sale,3.0,2.0,0.09,Pawtucket,Rhode Island,2860.0,1524.0,2021-09-13,335000.0
