,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
500646,for_sale,2.0,2.0,0.02,Cranford,New Jersey,7016.0,1240.0,2017-04-26,389900.0
500657,for_sale,5.0,3.0,0.11,Staten Island,New York,10310.0,2200.0,2012-05-16,768000.0
500659,for_sale,4.0,3.0,0.15,Staten Island,New York,10312.0,2478.0,2017-12-01,1074900.0
500660,for_sale,2.0,3.0,0.03,Staten Island,New York,10306.0,1080.0,2016-06-02,599999.0
500661,for_sale,3.0,2.0,0.08,Staten Island,New York,10314.0,1392.0,2012-03-12,669000.0
500662,for_sale,1.0,1.0,0.08,Staten Island,New York,10305.0,900.0,2014-01-07,548000.0
500664,for_sale,4.0,3.0,0.23,Staten Island,New York,10309.0,3520.0,2004-03-22,1325000.0
500665,for_sale,2.0,4.0,0.08,Staten Island,New York,10310.0,1456.0,2018-06-11,699000.0
500666,for_sale,3.0,2.0,0.09,Staten Island,New York,10310.0,1368.0,2010-06-11,780000.0
500669,for_sale,3.0,2.0,0.06,Staten Island,New York,10314.0,1312.0,1989-03-31,599000.0
500674,for_sale,4.0,2.0,0.14,Staten Island,New York,10314.0,1205.0,2013-03-29,799000.0
500675,for_sale,7.0,3.0,0.05,Brooklyn,New York,11220.0,2208.0,1994-12-12,1880000.0
500681,for_sale,6.0,2.0,0.06,Irvington,New Jersey,7111.0,1830.0,2020-11-19,375000.0
500684,for_sale,2.0,3.0,714.79,Matawan,New Jersey,7747.0,1284.0,2018-07-24,385999.0
500686,for_sale,4.0,4.0,0.26,Springfield,New Jersey,7081.0,4015.0,2019-06-06,999000.0
500691,for_sale,2.0,1.0,0.06,Staten Island,New York,10306.0,772.0,2005-09-28,450000.0
500701,for_sale,5.0,4.0,0.04,New York City,New York,11217.0,2880.0,2009-12-10,4500000.0
500702,for_sale,6.0,5.0,0.06,Elizabeth City,New Jersey,7202.0,19998.0,2008-10-29,639900.0
500711,for_sale,4.0,4.0,0.07,Staten Island,New York,10305.0,2230.0,2005-09-13,998000.0
