,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
659257,for_sale,3.0,2.0,0.42,Blackwood,New Jersey,8012.0,1768.0,1989-05-09,259500.0
659258,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19143.0,852.0,1992-03-04,134500.0
659259,for_sale,3.0,3.0,0.02,Philadelphia,Pennsylvania,19139.0,1486.0,2022-02-17,248999.0
659261,for_sale,4.0,3.0,0.03,Philadelphia,Pennsylvania,19151.0,1576.0,2005-02-14,130000.0
659262,for_sale,3.0,3.0,0.11,Philadelphia,Pennsylvania,19138.0,1552.0,2021-11-09,394900.0
659263,for_sale,3.0,2.0,0.05,Philadelphia,Pennsylvania,19137.0,1120.0,2022-02-14,279000.0
659267,for_sale,5.0,2.0,0.12,Philadelphia,Pennsylvania,19124.0,1730.0,1995-08-14,300000.0
659269,for_sale,3.0,1.0,0.1,Drexel Hill,Pennsylvania,19026.0,1188.0,2014-08-12,195000.0
659270,for_sale,4.0,3.0,0.02,Philadelphia,Pennsylvania,19145.0,1500.0,2007-05-10,310000.0
659271,for_sale,2.0,1.0,0.02,Philadelphia,Pennsylvania,19140.0,712.0,1991-04-23,110000.0
659272,for_sale,3.0,2.0,0.04,Philadelphia,Pennsylvania,19120.0,1440.0,2001-06-20,200000.0
659274,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19124.0,1050.0,2016-04-12,160000.0
659275,for_sale,4.0,2.0,0.46,Williamstown,New Jersey,8094.0,1998.0,2020-02-10,315000.0
659276,for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19133.0,1084.0,1990-11-13,120000.0
659277,for_sale,3.0,1.0,0.22,Drexel Hill,Pennsylvania,19026.0,1052.0,2021-06-07,284500.0
659278,for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19146.0,840.0,1984-03-08,175000.0
659279,for_sale,3.0,1.0,0.23,Sicklerville,New Jersey,8081.0,1332.0,1989-09-11,127000.0
659281,for_sale,4.0,2.0,0.04,Philadelphia,Pennsylvania,19124.0,1024.0,2001-02-13,229000.0
659282,for_sale,3.0,2.0,0.15,Pennsauken,New Jersey,8109.0,1419.0,2005-07-28,249999.0
659283,for_sale,2.0,1.0,0.03,Oaklyn,New Jersey,8107.0,868.0,2007-06-27,114000.0
659284,for_sale,4.0,3.0,0.25,Marlton,New Jersey,8053.0,2829.0,2006-08-16,450000.0
659285,for_sale,4.0,3.0,0.02,Philadelphia,Pennsylvania,19145.0,1945.0,2021-06-01,549900.0
659293,for_sale,3.0,3.0,0.03,Philadelphia,Pennsylvania,19148.0,2086.0,2014-12-19,629000.0
659295,for_sale,4.0,3.0,0.21,Barrington,New Jersey,8007.0,1983.0,2009-02-20,350000.0
659298,for_sale,4.0,3.0,0.24,Williamstown,New Jersey,8094.0,2180.0,2020-04-06,394900.0
659299,for_sale,3.0,3.0,0.01,Philadelphia,Pennsylvania,19121.0,1680.0,1986-01-22,279999.0
659300,for_sale,3.0,4.0,1.0,Mullica Hill,New Jersey,8062.0,1465.0,2017-01-03,415000.0
659302,for_sale,3.0,2.0,0.03,Camden,New Jersey,8103.0,1875.0,1992-04-28,99999.0
659303,for_sale,3.0,3.0,0.05,Swedesboro,New Jersey,8085.0,1472.0,2022-04-08,280000.0
659304,for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19121.0,936.0,2019-08-30,254000.0
659305,for_sale,3.0,2.0,0.26,Somerdale,New Jersey,8083.0,1166.0,2022-01-28,260000.0
659307,for_sale,3.0,1.0,0.05,Chester,Pennsylvania,19013.0,1536.0,2012-07-03,64500.0
659308,for_sale,3.0,3.0,0.07,Philadelphia,Pennsylvania,19120.0,1590.0,2017-03-29,320000.0
659309,for_sale,2.0,1.0,0.2,Gibbstown,New Jersey,8027.0,1120.0,2017-08-03,214900.0
