,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
391377,for_sale,4.0,2.0,0.23,Torrington,Connecticut,6790.0,1312.0,2011-06-17,160000.0
391378,for_sale,4.0,6.0,4.13,Winchester,Connecticut,6098.0,3448.0,2001-12-18,299900.0
391381,for_sale,4.0,3.0,1.34,Granby,Connecticut,6060.0,2967.0,2002-12-02,485000.0
391382,for_sale,3.0,1.0,0.14,Winchester,Connecticut,6098.0,1170.0,2021-04-29,279000.0
391383,for_sale,3.0,2.0,0.44,New Hartford,Connecticut,6057.0,1491.0,2020-10-13,224550.0
391384,for_sale,3.0,1.0,0.11,Winchester,Connecticut,6098.0,1156.0,2006-03-17,154500.0
391385,for_sale,3.0,2.0,0.23,Winchester,Connecticut,6098.0,1346.0,2008-07-28,225000.0
391386,for_sale,4.0,4.0,2.41,Granby,Connecticut,6060.0,3394.0,2000-06-07,550000.0
391389,for_sale,4.0,4.0,2.31,Canton,Connecticut,6019.0,2652.0,2019-05-09,649900.0
391394,for_sale,3.0,2.0,0.23,Torrington,Connecticut,6790.0,1008.0,2001-11-02,229900.0
391399,for_sale,3.0,3.0,1.04,Burlington,Connecticut,6013.0,1702.0,2011-04-01,368000.0
391400,for_sale,3.0,3.0,1.69,Avon,Connecticut,6001.0,2440.0,2018-05-29,424900.0
391401,for_sale,5.0,5.0,0.92,Avon,Connecticut,6001.0,3826.0,1997-08-22,630000.0
391402,for_sale,3.0,3.0,0.54,Farmington,Connecticut,6085.0,2202.0,2009-08-31,499900.0
391403,for_sale,4.0,2.0,1.23,Burlington,Connecticut,6013.0,1613.0,2021-03-01,369000.0
391405,for_sale,3.0,2.0,1.44,New Hartford,Connecticut,6057.0,1440.0,2008-05-05,775000.0
391406,for_sale,4.0,3.0,0.73,Simsbury,Connecticut,6089.0,2962.0,2005-04-08,624900.0
391407,for_sale,3.0,3.0,1.52,Burlington,Connecticut,6013.0,1402.0,2019-07-08,449600.0
391410,for_sale,3.0,3.0,6.92,Barkhamsted,Connecticut,6063.0,2462.0,2022-01-04,493000.0
391415,for_sale,4.0,3.0,0.57,Simsbury,Connecticut,6070.0,2022.0,1995-05-31,400000.0
391417,for_sale,4.0,3.0,1.09,Simsbury,Connecticut,6070.0,2902.0,1997-08-15,400000.0
391420,for_sale,4.0,3.0,0.69,Simsbury,Connecticut,6070.0,2126.0,2015-06-30,475000.0
391434,for_sale,4.0,2.0,0.24,Plainville,Connecticut,6062.0,1530.0,2009-11-13,199900.0
391438,for_sale,3.0,1.0,0.12,Plainville,Connecticut,6062.0,900.0,2015-07-10,199900.0
391439,for_sale,3.0,2.0,0.21,Plainville,Connecticut,6062.0,1395.0,2009-10-14,204900.0
391442,for_sale,4.0,3.0,1.0,Plainville,Connecticut,6062.0,2682.0,2014-04-01,400000.0
391443,for_sale,3.0,2.0,0.27,Plainville,Connecticut,6062.0,1246.0,2015-11-02,249900.0
391444,for_sale,3.0,2.0,0.29,Plainville,Connecticut,6062.0,1056.0,2021-10-26,269900.0
391445,for_sale,2.0,1.0,0.23,Plainville,Connecticut,6062.0,1040.0,2007-01-02,179900.0
391446,for_sale,2.0,1.0,0.23,Plainville,Connecticut,6062.0,1201.0,2014-10-27,185900.0
391447,for_sale,4.0,2.0,0.41,Plainville,Connecticut,6062.0,1624.0,2005-09-26,155000.0
391448,for_sale,3.0,3.0,1.91,Plainville,Connecticut,6062.0,2456.0,2018-11-15,449000.0
391450,for_sale,2.0,2.0,0.15,Plainville,Connecticut,6062.0,864.0,2015-05-05,185000.0
391451,for_sale,3.0,2.0,0.16,Plainville,Connecticut,6062.0,1212.0,2019-08-01,269900.0
391452,for_sale,3.0,3.0,0.34,Plainville,Connecticut,6062.0,1556.0,2000-11-03,289900.0
391453,for_sale,4.0,2.0,0.32,Plainville,Connecticut,6062.0,1593.0,2017-06-26,244900.0
391455,for_sale,4.0,3.0,0.27,Plainville,Connecticut,6062.0,2584.0,1998-12-30,305000.0
391456,for_sale,3.0,1.0,0.16,Plainville,Connecticut,6062.0,912.0,2006-10-03,140000.0
391461,for_sale,2.0,1.0,0.23,Plainville,Connecticut,6062.0,798.0,2021-10-21,199900.0
391462,for_sale,3.0,2.0,0.26,Plainville,Connecticut,6062.0,1512.0,2007-02-01,325000.0
391466,for_sale,3.0,1.0,0.21,Plainville,Connecticut,6062.0,898.0,2011-08-04,190000.0
391467,for_sale,3.0,2.0,0.47,Plainville,Connecticut,6062.0,1130.0,2022-02-23,239900.0
391468,for_sale,4.0,2.0,0.34,Plainville,Connecticut,6062.0,1920.0,2000-06-20,329000.0
391469,for_sale,4.0,2.0,0.21,Plainville,Connecticut,6062.0,1827.0,2007-08-08,250000.0
391472,for_sale,2.0,1.0,0.73,Thomaston,Connecticut,6787.0,988.0,2005-01-14,85000.0
391479,for_sale,2.0,1.0,0.33,Torrington,Connecticut,6790.0,1045.0,2004-12-02,145000.0
391480,for_sale,3.0,1.0,0.14,Plainville,Connecticut,6062.0,1238.0,2003-11-25,169900.0
