,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
411103,for_sale,3.0,2.0,5.69,Plainfield,Connecticut,6354.0,1488.0,2010-06-03,339900.0
411105,for_sale,4.0,3.0,0.24,Norwich,Connecticut,6360.0,2074.0,2020-09-04,340000.0
411111,for_sale,4.0,3.0,1.51,Mansfield,Connecticut,6268.0,2745.0,2013-05-01,599000.0
411112,for_sale,4.0,2.0,0.97,Killingly,Connecticut,6239.0,1748.0,1997-12-08,315000.0
411113,for_sale,4.0,3.0,1.1,Mansfield,Connecticut,6250.0,1916.0,2008-01-10,329000.0
411115,for_sale,4.0,4.0,12.43,Thompson,Connecticut,6255.0,4334.0,2000-06-02,599000.0
411117,for_sale,3.0,3.0,1.22,Sturbridge,Massachusetts,1566.0,1800.0,1987-12-02,474900.0
411120,for_sale,3.0,3.0,1.0,Tolland,Connecticut,6084.0,1234.0,1993-04-30,239999.0
411123,for_sale,4.0,4.0,0.13,Killingly,Connecticut,6241.0,2322.0,2020-02-18,264900.0
411124,for_sale,3.0,1.0,1.3,Monson,Massachusetts,1057.0,1674.0,2018-08-08,290000.0
411125,for_sale,2.0,1.0,0.34,Ledyard,Connecticut,6339.0,784.0,2009-09-01,209900.0
411126,for_sale,8.0,3.0,0.39,Palmer,Massachusetts,1069.0,4841.0,2015-05-11,335000.0
411127,for_sale,3.0,2.0,2.3,Canterbury,Connecticut,6331.0,1704.0,1998-09-01,470000.0
411128,for_sale,4.0,3.0,5.6,Columbia,Connecticut,6237.0,3306.0,2021-12-02,660000.0
411130,for_sale,3.0,2.0,0.5,Killingly,Connecticut,6239.0,2091.0,2018-11-19,299900.0
411131,for_sale,3.0,1.0,0.21,Dudley,Massachusetts,1571.0,1008.0,2006-05-31,324900.0
411134,for_sale,3.0,2.0,2.18,Thompson,Connecticut,6255.0,1574.0,2015-08-20,285000.0
411143,for_sale,5.0,4.0,1.53,Webster,Massachusetts,1570.0,4024.0,1988-05-13,599900.0
411144,for_sale,6.0,2.0,0.2,Plainfield,Connecticut,6374.0,2673.0,2011-07-19,210000.0
