,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
708318,for_sale,5.0,3.0,0.3,Brick,New Jersey,8723.0,5400.0,1990-04-16,1425000.0
708319,for_sale,3.0,3.0,0.2,Toms River,New Jersey,8753.0,2873.0,2004-06-30,899900.0
708320,for_sale,5.0,4.0,0.22,Toms River,New Jersey,8753.0,3300.0,2005-11-22,1590000.0
708323,for_sale,4.0,3.0,0.11,Brick,New Jersey,8723.0,2600.0,2018-05-18,785000.0
708326,for_sale,6.0,3.0,0.04,Lavallette,New Jersey,8735.0,1872.0,1998-05-28,979000.0
708327,for_sale,4.0,4.0,0.14,Bayville,New Jersey,8721.0,2790.0,2001-05-08,953000.0
708329,for_sale,5.0,5.0,0.13,Mantoloking,New Jersey,8738.0,3400.0,2021-08-10,3199000.0
708333,for_sale,2.0,2.0,0.15,Toms River,New Jersey,8757.0,1232.0,2017-07-26,199000.0
708335,for_sale,2.0,2.0,0.32,Island Heights,New Jersey,8732.0,1390.0,1979-06-04,399999.0
708339,for_sale,2.0,2.0,0.19,Toms River,New Jersey,8755.0,1730.0,1998-11-30,359900.0
708341,for_sale,2.0,2.0,0.14,Toms River,New Jersey,8757.0,1461.0,1991-11-14,285000.0
708343,for_sale,3.0,1.0,0.17,Bayville,New Jersey,8721.0,760.0,1991-10-18,249000.0
708344,for_sale,4.0,2.0,0.23,Bayville,New Jersey,8721.0,1750.0,2002-01-17,400000.0
708345,for_sale,2.0,2.0,0.13,Toms River,New Jersey,8757.0,1232.0,2016-05-23,347900.0
708347,for_sale,5.0,6.0,0.28,Toms River,New Jersey,8753.0,6903.0,2007-06-19,3100000.0
708350,for_sale,3.0,1.0,0.23,Toms River,New Jersey,8757.0,1400.0,2016-04-07,405000.0
708351,for_sale,3.0,2.0,0.22,Island Heights,New Jersey,8732.0,2400.0,1995-07-11,749000.0
708352,for_sale,4.0,4.0,1.05,Toms River,New Jersey,8755.0,3250.0,2000-09-29,850000.0
708356,for_sale,2.0,1.0,0.15,Toms River,New Jersey,8757.0,1136.0,2005-06-24,278000.0
708361,for_sale,4.0,4.0,0.23,Toms River,New Jersey,8753.0,2524.0,2002-01-25,600000.0
708363,for_sale,2.0,1.0,0.12,Toms River,New Jersey,8757.0,1092.0,2019-06-10,265000.0
708365,for_sale,4.0,3.0,0.3,Toms River,New Jersey,8753.0,2310.0,2019-06-19,575000.0
708366,for_sale,3.0,2.0,0.21,Toms River,New Jersey,8753.0,1567.0,1990-08-21,425000.0
708367,for_sale,4.0,3.0,0.48,Toms River,New Jersey,8755.0,2244.0,2007-05-24,729900.0
708368,for_sale,4.0,2.0,0.18,Lavallette,New Jersey,8735.0,1428.0,1997-02-19,1150000.0
708369,for_sale,4.0,2.0,0.33,Toms River,New Jersey,8753.0,1692.0,1986-07-10,549900.0
708394,for_sale,4.0,3.0,0.29,Toms River,New Jersey,8753.0,1896.0,2021-02-08,349000.0
708395,for_sale,3.0,2.0,0.45,Brick,New Jersey,8724.0,1585.0,1993-05-26,315900.0
708399,for_sale,2.0,1.0,0.08,Toms River,New Jersey,8753.0,816.0,2000-02-14,140500.0
708400,for_sale,3.0,1.0,0.15,Toms River,New Jersey,8753.0,1152.0,1992-10-20,175000.0
708401,for_sale,3.0,2.0,0.24,Point Pleasant,New Jersey,8742.0,1441.0,2009-09-14,309000.0
708402,for_sale,7.0,3.0,0.05,Seaside Heights,New Jersey,8751.0,2208.0,2014-06-05,375000.0
708403,for_sale,4.0,3.0,0.27,Toms River,New Jersey,8753.0,1892.0,2019-12-24,280000.0
708405,for_sale,3.0,2.0,0.3,Toms River,New Jersey,8753.0,1564.0,2019-08-20,269900.0
708415,for_sale,4.0,3.0,1.0,Jackson,New Jersey,8527.0,3018.0,2018-10-22,680000.0
708421,for_sale,5.0,4.0,0.38,Lakewood,New Jersey,8701.0,3753.0,2009-02-17,959000.0
708424,for_sale,4.0,2.0,5.07,Jackson,New Jersey,8527.0,1962.0,1996-01-04,1995000.0
708427,for_sale,4.0,4.0,0.1,Toms River,New Jersey,8753.0,2700.0,2021-03-10,639000.0
708451,for_sale,3.0,2.0,0.22,Browns Mills,New Jersey,8015.0,1206.0,2006-07-11,184900.0
708452,for_sale,4.0,2.0,0.28,Browns Mills,New Jersey,8015.0,1224.0,2006-02-22,159900.0
708455,for_sale,2.0,1.0,0.15,Whiting,New Jersey,8759.0,1148.0,2005-06-23,160000.0
708456,for_sale,3.0,2.0,0.31,Browns Mills,New Jersey,8015.0,1815.0,2002-12-05,235000.0
708457,for_sale,2.0,2.0,0.18,Toms River,New Jersey,8757.0,1600.0,2021-11-19,310000.0
708468,for_sale,4.0,4.0,0.23,Brick,New Jersey,8724.0,3012.0,2007-07-17,475000.0
708469,for_sale,6.0,4.0,3.0,Chesterfield,New Jersey,8515.0,4800.0,1973-09-24,650000.0
708471,for_sale,2.0,2.0,0.14,Berkeley,New Jersey,8757.0,1600.0,1995-12-18,275000.0
708473,for_sale,2.0,2.0,0.17,Toms River,New Jersey,8757.0,1440.0,2010-08-10,235000.0
708474,for_sale,6.0,4.0,1.14,Cream Ridge,New Jersey,8514.0,4158.0,1989-08-08,375000.0
708477,for_sale,3.0,2.0,3.5,New Egypt,New Jersey,8533.0,2014.0,2003-01-06,450000.0
708479,for_sale,2.0,2.0,0.28,Lakewood,New Jersey,8701.0,1789.0,1999-05-19,385000.0
708488,for_sale,5.0,3.0,1.08,Toms River,New Jersey,8755.0,3233.0,2003-10-17,825000.0
708489,for_sale,4.0,3.0,0.23,Brick,New Jersey,8723.0,2741.0,1999-07-16,750000.0
708492,for_sale,2.0,1.0,1.0,Wrightstown,New Jersey,8562.0,928.0,1986-11-21,199000.0
708497,for_sale,3.0,2.0,0.28,Browns Mills,New Jersey,8015.0,1300.0,2007-03-26,150000.0
708498,for_sale,3.0,3.0,0.22,Island Heights,New Jersey,8732.0,2500.0,1994-06-08,499000.0
708500,for_sale,2.0,2.0,0.15,Toms River,New Jersey,8757.0,1232.0,2002-06-11,249900.0
708504,for_sale,2.0,2.0,0.14,Toms River,New Jersey,8757.0,1615.0,1996-01-11,283000.0
708505,for_sale,1.0,1.0,0.11,Brick,New Jersey,8723.0,504.0,2020-11-30,209900.0
708506,for_sale,2.0,2.0,0.15,Toms River,New Jersey,8757.0,1232.0,1998-08-27,185000.0
708507,for_sale,2.0,2.0,0.03,Toms River,New Jersey,8755.0,1216.0,2005-07-14,175000.0
708508,for_sale,2.0,1.0,0.28,Bayville,New Jersey,8721.0,672.0,1998-09-15,220000.0
708516,for_sale,3.0,2.0,0.23,Toms River,New Jersey,8757.0,1250.0,2018-05-08,350000.0
708518,for_sale,3.0,1.0,0.2,Toms River,New Jersey,8757.0,1104.0,2004-01-06,325000.0
708519,for_sale,3.0,1.0,0.23,Browns Mills,New Jersey,8015.0,1129.0,2006-05-23,150000.0
708522,for_sale,2.0,2.0,0.13,Toms River,New Jersey,8757.0,1232.0,2019-01-08,254000.0
708523,for_sale,2.0,1.0,0.15,Toms River,New Jersey,8753.0,1336.0,2002-04-09,225000.0
708524,for_sale,2.0,1.0,0.12,Toms River,New Jersey,8757.0,1092.0,2005-09-28,199000.0
708525,for_sale,3.0,2.0,0.14,Ocean Gate,New Jersey,8740.0,1560.0,2003-10-28,219900.0
708526,for_sale,3.0,2.0,0.18,Browns Mills,New Jersey,8015.0,1250.0,2015-04-27,199900.0
708529,for_sale,2.0,2.0,0.13,Toms River,New Jersey,8757.0,1328.0,2004-05-26,150000.0
708532,for_sale,3.0,2.0,0.18,Browns Mills,New Jersey,8015.0,1260.0,2017-03-22,290000.0
708541,for_sale,2.0,2.0,0.12,Toms River,New Jersey,8757.0,1232.0,2004-07-07,290000.0
708542,for_sale,2.0,2.0,0.03,Toms River,New Jersey,8755.0,1216.0,2019-08-20,250000.0
708547,for_sale,4.0,3.0,1.0,Jackson,New Jersey,8527.0,3099.0,2011-05-17,724900.0
708548,for_sale,2.0,2.0,0.15,Toms River,New Jersey,8757.0,1134.0,2021-01-19,349900.0
708549,for_sale,4.0,4.0,0.2,Brick,New Jersey,8723.0,1560.0,1992-01-23,575000.0
708554,for_sale,3.0,2.0,0.29,Toms River,New Jersey,8753.0,1534.0,1989-03-27,359900.0
708560,for_sale,2.0,2.0,0.28,Manchester,New Jersey,8759.0,1812.0,2006-02-17,280000.0
708562,for_sale,2.0,2.0,0.14,Manchester,New Jersey,8759.0,2094.0,2021-02-16,378423.0
708565,for_sale,3.0,1.0,3.03,Manchester,New Jersey,8759.0,1652.0,2008-01-29,190000.0
708566,for_sale,2.0,1.0,0.06,Seaside Park,New Jersey,8752.0,653.0,2009-07-22,499000.0
708567,for_sale,2.0,2.0,0.13,Manchester,New Jersey,8759.0,1426.0,2021-01-08,360000.0
708568,for_sale,3.0,1.0,0.23,Browns Mills,New Jersey,8015.0,1288.0,2013-08-02,237900.0
708569,for_sale,4.0,3.0,0.19,Toms River,New Jersey,8753.0,2653.0,2003-12-19,539900.0
708571,for_sale,3.0,2.0,0.58,Bayville,New Jersey,8721.0,1935.0,1987-04-07,549000.0
708572,for_sale,3.0,2.0,0.14,Ocean Gate,New Jersey,8740.0,1300.0,2021-03-01,379900.0
708575,for_sale,4.0,4.0,1.01,Jackson,New Jersey,8527.0,3527.0,2021-07-29,975000.0
708578,for_sale,5.0,4.0,1.0,Jackson,New Jersey,8527.0,2705.0,2000-07-27,600000.0
708579,for_sale,12.0,9.0,0.76,Mantoloking,New Jersey,8738.0,7793.0,2012-07-02,13999999.0
708590,for_sale,4.0,3.0,0.34,Jackson,New Jersey,8527.0,2534.0,2012-07-17,849900.0
708591,for_sale,5.0,3.0,0.68,Toms River,New Jersey,8753.0,3500.0,2011-03-30,1699000.0
708600,for_sale,2.0,2.0,0.16,Brick,New Jersey,8723.0,1810.0,2011-11-04,318900.0
708602,for_sale,3.0,2.0,0.28,Browns Mills,New Jersey,8015.0,1558.0,2015-03-02,274900.0
708604,for_sale,2.0,2.0,0.14,Toms River,New Jersey,8757.0,1153.0,2020-02-10,285000.0
708606,for_sale,2.0,1.0,0.08,Toms River,New Jersey,8753.0,624.0,2001-12-31,215000.0
708608,for_sale,7.0,4.0,0.18,Beachwood,New Jersey,8722.0,2726.0,2012-12-31,399000.0
708609,for_sale,2.0,1.0,0.14,Pemberton,New Jersey,8068.0,690.0,2006-05-31,70000.0
708610,for_sale,2.0,1.0,0.14,Pemberton,New Jersey,8068.0,690.0,2006-05-31,70000.0
708613,for_sale,2.0,1.0,0.03,Seaside Heights,New Jersey,8751.0,1500.0,2020-06-19,379900.0
708615,for_sale,4.0,6.0,0.32,Mantoloking,New Jersey,8738.0,4100.0,2013-03-12,5995000.0
708617,for_sale,3.0,2.0,0.96,Jackson,New Jersey,8527.0,1696.0,2004-07-30,449999.0
708618,for_sale,3.0,2.0,0.24,Toms River,New Jersey,8753.0,2060.0,2002-08-29,599900.0
708619,for_sale,5.0,3.0,0.93,Jackson,New Jersey,8527.0,3392.0,2012-07-09,899900.0
708622,for_sale,5.0,4.0,1.38,Howell,New Jersey,7731.0,3242.0,1998-01-12,715000.0
708630,for_sale,4.0,4.0,0.36,Brielle,New Jersey,8730.0,4000.0,1999-03-29,1539000.0
708631,for_sale,4.0,3.0,19.0,Cookstown,New Jersey,8511.0,2400.0,2003-07-23,650000.0
708635,for_sale,3.0,1.0,0.49,Browns Mills,New Jersey,8015.0,1268.0,2014-05-27,135000.0
708637,for_sale,2.0,1.0,0.14,Toms River,New Jersey,8757.0,1163.0,1999-04-27,215000.0
708638,for_sale,2.0,2.0,0.12,Toms River,New Jersey,8753.0,1392.0,1999-05-20,299000.0
708639,for_sale,2.0,2.0,0.23,Toms River,New Jersey,8757.0,1440.0,2019-02-25,299900.0
708641,for_sale,2.0,1.0,0.19,Beachwood,New Jersey,8722.0,900.0,2020-08-31,279000.0
708646,for_sale,1.0,1.0,0.14,Manchester Township,New Jersey,8759.0,748.0,2018-04-06,120000.0
708648,for_sale,3.0,2.0,0.17,Brick,New Jersey,8724.0,1800.0,2013-05-30,419900.0
708650,for_sale,2.0,2.0,0.12,Jackson,New Jersey,8527.0,1457.0,1996-12-23,354900.0
708652,for_sale,4.0,4.0,1.64,Wrightstown,New Jersey,8562.0,4085.0,1993-09-20,594500.0
708657,for_sale,4.0,4.0,0.24,Brick,New Jersey,8724.0,2328.0,2020-09-21,625000.0
708658,for_sale,4.0,2.0,2.7,Jackson,New Jersey,8527.0,1932.0,1995-04-07,599000.0
708661,for_sale,4.0,3.0,1.85,Toms River,New Jersey,8755.0,3472.0,1992-09-03,900000.0
708663,for_sale,6.0,3.0,0.11,Ortley Beach,New Jersey,8751.0,2500.0,2014-05-06,1699000.0
708666,for_sale,4.0,4.0,1.33,Toms River,New Jersey,8755.0,2974.0,2010-08-31,900000.0
708667,for_sale,2.0,2.0,0.17,Lakewood,New Jersey,8701.0,2320.0,2013-11-13,539900.0
708668,for_sale,5.0,4.0,0.21,Toms River,New Jersey,8753.0,4495.0,2003-09-10,1795000.0
708670,for_sale,4.0,3.0,1.39,Jackson,New Jersey,8527.0,2320.0,2020-07-17,869000.0
708671,for_sale,4.0,3.0,3.6,Toms River,New Jersey,8755.0,2184.0,1971-09-10,550000.0
708673,for_sale,5.0,3.0,0.38,Brick,New Jersey,8724.0,4116.0,2014-07-02,2395000.0
708676,for_sale,3.0,1.0,0.17,Browns Mills,New Jersey,8015.0,1009.0,2005-12-23,225000.0
708678,for_sale,4.0,1.0,0.45,Browns Mills,New Jersey,8015.0,1352.0,2003-01-30,170000.0
708680,for_sale,5.0,2.0,1.13,Wrightstown,New Jersey,8562.0,2306.0,1997-04-08,280000.0
