,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
57127,for_sale,3.0,2.0,4.25,Sand Lake,New York,12018.0,1080.0,2019-02-13,264900.0
57129,for_sale,8.0,10.0,157.0,Chatham,New York,12136.0,14058.0,2009-10-20,15000000.0
57131,for_sale,3.0,2.0,0.56,Sand Lake,New York,12196.0,3200.0,2018-04-03,439900.0
57132,for_sale,3.0,2.0,0.23,Torrington,Connecticut,6790.0,1008.0,2001-11-02,229900.0
57133,for_sale,2.0,2.0,0.35,Torrington,Connecticut,6790.0,912.0,2021-06-28,225000.0
57136,for_sale,3.0,2.0,0.21,Pittsfield,Massachusetts,1201.0,1230.0,2008-08-11,165000.0
57139,for_sale,4.0,7.0,7.99,Middlebury,Connecticut,6762.0,5741.0,2005-03-31,2750000.0
57146,for_sale,5.0,4.0,2.09,Litchfield,Connecticut,6759.0,4612.0,2004-05-19,2475000.0
57147,for_sale,6.0,2.0,0.08,Pittsfield,Massachusetts,1201.0,2554.0,2000-05-15,784900.0
57149,for_sale,8.0,4.0,0.2,Pittsfield,Massachusetts,1201.0,3904.0,2005-05-20,230000.0
57153,for_sale,4.0,3.0,15.46,Salisbury,Connecticut,6068.0,2128.0,2008-01-18,625000.0
57155,for_sale,5.0,4.0,56.1,Ghent,New York,12075.0,4960.0,2010-10-14,2550000.0
57167,for_sale,3.0,1.0,10.75,Sandisfield,Massachusetts,1255.0,1056.0,2008-03-11,299000.0
57171,for_sale,4.0,3.0,1.0,Sand Lake,New York,12018.0,2367.0,2015-10-06,80000.0
57174,for_sale,3.0,3.0,0.37,Sand Lake,New York,12018.0,2073.0,2005-06-08,279900.0
57176,for_sale,3.0,1.0,0.41,Watertown,Connecticut,6795.0,1743.0,2017-12-11,205000.0
57179,for_sale,3.0,2.0,0.2,Great Barrington,Massachusetts,1230.0,1424.0,2003-05-08,475000.0
57181,for_sale,4.0,1.0,0.33,Torrington,Connecticut,6790.0,1392.0,2005-07-25,180000.0
57182,for_sale,13.0,12.0,2.62,Norfolk,Connecticut,6058.0,5988.0,2017-08-30,875000.0
57185,for_sale,4.0,2.0,1.16,Lee,Massachusetts,1238.0,1851.0,2009-07-31,419000.0
57186,for_sale,3.0,2.0,0.2,Pittsfield,Massachusetts,1201.0,1572.0,2011-01-07,239900.0
57187,for_sale,3.0,2.0,0.37,Harwinton,Connecticut,6791.0,1123.0,2016-05-24,239000.0
57189,for_sale,8.0,8.0,0.23,Pittsfield,Massachusetts,1201.0,6120.0,1989-03-02,539900.0
57190,for_sale,2.0,2.0,18.7,Alford,Massachusetts,1266.0,1968.0,2002-09-27,1500000.0
57191,for_sale,4.0,2.0,0.13,Torrington,Connecticut,6790.0,1637.0,2017-08-14,225000.0
57193,for_sale,3.0,1.0,0.23,Torrington,Connecticut,6790.0,902.0,2020-06-29,209900.0
57196,for_sale,5.0,6.0,3.0,Egremont,Massachusetts,1230.0,3382.0,2004-07-15,1299000.0
57197,for_sale,3.0,2.0,0.37,Torrington,Connecticut,6790.0,1116.0,2009-11-19,249900.0
57198,for_sale,4.0,4.0,31.08,Sharon,Connecticut,6069.0,3387.0,1995-01-30,2850000.0
57199,for_sale,8.0,3.0,0.11,Torrington,Connecticut,6790.0,2456.0,2008-07-21,249900.0
57200,for_sale,3.0,1.0,0.32,Pittsfield,Massachusetts,1201.0,1105.0,1987-08-27,59900.0
57204,for_sale,4.0,5.0,0.51,New Lebanon,New York,12125.0,3133.0,2019-09-11,339000.0
57208,for_sale,3.0,3.0,2.23,Stockbridge,Massachusetts,1262.0,2456.0,1996-11-01,950000.0
57209,for_sale,3.0,2.0,1.61,Litchfield,Connecticut,6759.0,1389.0,2002-03-01,359900.0
57211,for_sale,3.0,2.0,0.91,Goshen,Connecticut,6756.0,1546.0,2005-09-12,695000.0
57215,for_sale,4.0,2.0,0.22,Pittsfield,Massachusetts,1201.0,1870.0,2002-01-04,159900.0
57217,for_sale,3.0,2.0,2.7,Bethlehem,Connecticut,6751.0,2134.0,2021-08-31,475000.0
57218,for_sale,3.0,1.0,0.24,Lanesborough,Massachusetts,1237.0,875.0,2006-10-20,185000.0
57222,for_sale,3.0,2.0,0.26,Torrington,Connecticut,6790.0,1528.0,2017-07-05,224900.0
57223,for_sale,4.0,3.0,5.13,Lenox,Massachusetts,1240.0,2484.0,2002-07-03,675000.0
57225,for_sale,3.0,2.0,0.26,Torrington,Connecticut,6790.0,1666.0,2013-11-13,242900.0
57226,for_sale,12.0,4.0,0.22,Pittsfield,Massachusetts,1201.0,4200.0,1993-02-04,184900.0
57228,for_sale,2.0,1.0,0.28,Watertown,Connecticut,6795.0,1256.0,2021-08-17,299900.0
57230,for_sale,6.0,4.0,0.22,Pittsfield,Massachusetts,1201.0,2448.0,2002-08-12,175000.0
57232,for_sale,6.0,3.0,0.26,Pittsfield,Massachusetts,1201.0,2800.0,2007-06-12,285000.0
57234,for_sale,6.0,3.0,0.19,Torrington,Connecticut,6790.0,2554.0,2020-02-03,239900.0
57235,for_sale,3.0,3.0,0.09,Craryville,New York,12521.0,1320.0,2020-02-28,995000.0
57238,for_sale,5.0,2.0,0.29,Pittsfield,Massachusetts,1201.0,2170.0,1992-11-16,459000.0
57243,for_sale,4.0,2.0,0.11,Torrington,Connecticut,6790.0,1402.0,2006-11-06,99900.0
57244,for_sale,2.0,1.0,5.0,Pownal,Vermont,5261.0,1320.0,2008-06-26,195000.0
57246,for_sale,2.0,2.0,0.17,Grafton,New York,12052.0,1469.0,1994-01-03,179000.0
57248,for_sale,3.0,2.0,0.24,Hoosick Falls,New York,12090.0,1800.0,2021-04-02,199000.0
57249,for_sale,3.0,3.0,0.23,North Canaan,Connecticut,6018.0,1510.0,2021-10-12,288500.0
57252,for_sale,4.0,3.0,6.1,Stephentown,New York,12168.0,2350.0,2003-10-28,450000.0
57254,for_sale,3.0,3.0,3.4,Chatham,New York,12037.0,2669.0,2014-08-15,549000.0
57259,for_sale,3.0,2.0,0.28,Watertown,Connecticut,6795.0,2336.0,2021-03-18,374800.0
57260,for_sale,3.0,2.0,4.83,Canaan,Connecticut,6031.0,2252.0,2021-04-28,725000.0
57262,for_sale,4.0,2.0,0.19,Torrington,Connecticut,6790.0,1284.0,2003-08-05,187900.0
57263,for_sale,3.0,2.0,1.92,Lenox,Massachusetts,1240.0,2211.0,1990-08-30,490000.0
57266,for_sale,3.0,3.0,11.92,Harwinton,Connecticut,6791.0,3488.0,2016-04-25,925000.0
57267,for_sale,4.0,2.0,99.0,Nassau,New York,12123.0,2368.0,2021-06-28,700000.0
57268,for_sale,4.0,6.0,34.0,Williamstown,Massachusetts,1267.0,7289.0,1999-11-12,3200000.0
57269,for_sale,3.0,4.0,28.0,Salisbury,Connecticut,6039.0,3732.0,2011-07-18,4995000.0
57271,for_sale,3.0,3.0,1.5,Valatie,New York,12184.0,2126.0,2018-05-15,629000.0
57274,for_sale,3.0,2.0,0.75,Pittsfield,Massachusetts,1201.0,2190.0,2004-12-17,459900.0
57275,for_sale,4.0,5.0,6.32,Goshen,Connecticut,6756.0,3838.0,2012-10-04,999900.0
57277,for_sale,4.0,4.0,196.1,Lanesborough,Massachusetts,1237.0,3396.0,1999-06-16,999000.0
57278,for_sale,7.0,4.0,101.0,Chatham,New York,12136.0,5188.0,2008-09-16,3650000.0
57284,for_sale,3.0,2.0,0.25,Torrington,Connecticut,6790.0,1382.0,2009-08-21,115000.0
57285,for_sale,3.0,4.0,1.8,Bethlehem,Connecticut,6751.0,2780.0,1995-04-04,243800.0
57287,for_sale,3.0,1.0,0.36,Nassau,New York,12123.0,1218.0,2016-04-06,149900.0
57289,for_sale,2.0,1.0,2.67,Hoosick Falls,New York,12090.0,1216.0,2021-07-02,215000.0
57290,for_sale,4.0,3.0,5.15,Stockbridge,Massachusetts,1262.0,2600.0,1998-12-11,449000.0
57291,for_sale,3.0,2.0,2.0,Alford,Massachusetts,1230.0,2328.0,2003-07-25,625000.0
57292,for_sale,4.0,2.0,2.75,Watertown,Connecticut,6795.0,2189.0,1995-08-03,399900.0
57295,for_sale,20.0,18.0,0.71,Pittsfield,Massachusetts,1201.0,15096.0,2010-11-17,239000.0
57296,for_sale,3.0,3.0,0.37,Valatie,New York,12184.0,1880.0,2015-09-01,389000.0
57300,for_sale,6.0,5.0,0.96,Goshen,Connecticut,6756.0,2865.0,2020-08-28,675000.0
57304,for_sale,5.0,3.0,0.87,Goshen,Connecticut,6756.0,2742.0,2006-05-11,619000.0
57305,for_sale,2.0,2.0,0.18,Pittsfield,Massachusetts,1201.0,1094.0,2007-09-05,224900.0
57311,for_sale,3.0,2.0,0.08,Torrington,Connecticut,6790.0,2189.0,2002-05-14,169900.0
57312,for_sale,3.0,2.0,0.23,Pittsfield,Massachusetts,1201.0,1362.0,2005-12-21,299999.0
57314,for_sale,3.0,2.0,0.32,Watertown,Connecticut,6795.0,1152.0,2021-10-04,359900.0
57315,for_sale,4.0,2.0,0.2,Watertown,Connecticut,6795.0,1492.0,2006-09-01,127200.0
57316,for_sale,5.0,4.0,20.0,Litchfield,Connecticut,6759.0,4007.0,2021-07-20,1850000.0
57319,for_sale,4.0,3.0,4.43,Woodbury,Connecticut,6798.0,3691.0,1993-05-05,1250000.0
57329,for_sale,5.0,3.0,0.28,Hoosick Falls,New York,12090.0,2619.0,2009-11-13,265000.0
57330,for_sale,6.0,2.0,1.06,Stephentown,New York,12168.0,2966.0,1998-12-01,274900.0
57335,for_sale,4.0,2.0,0.16,Lee,Massachusetts,1238.0,2260.0,1910-01-29,269000.0
57336,for_sale,4.0,2.0,0.06,Pittsfield,Massachusetts,1201.0,1872.0,1981-01-01,119900.0
57340,for_sale,5.0,5.0,5.5,Copake,New York,12516.0,3380.0,2006-01-20,1695000.0
57341,for_sale,3.0,3.0,1.23,Watertown,Connecticut,6795.0,1826.0,2002-02-04,369000.0
57342,for_sale,3.0,5.0,2.1,Morris,Connecticut,6763.0,2649.0,2003-09-19,1177000.0
57343,for_sale,3.0,2.0,0.46,Pittsfield,Massachusetts,1201.0,1536.0,2005-09-12,299900.0
57345,for_sale,4.0,2.0,5.2,Copake Falls,New York,12517.0,2029.0,2019-10-23,625000.0
57346,for_sale,3.0,4.0,2.14,Bethlehem,Connecticut,6751.0,3631.0,2021-02-19,1275000.0
57348,for_sale,5.0,4.0,8.12,Winchester,Connecticut,6098.0,3075.0,2001-05-31,1175000.0
57351,for_sale,5.0,5.0,5.89,Goshen,Connecticut,6756.0,4900.0,2005-09-06,925000.0
57353,for_sale,4.0,2.0,0.41,Williamstown,Massachusetts,1267.0,1545.0,2006-04-07,549000.0
57355,for_sale,10.0,4.0,0.13,Pittsfield,Massachusetts,1201.0,3736.0,2013-10-01,475000.0
57362,for_sale,3.0,1.0,75.0,Millerton,New York,12546.0,1600.0,2001-05-15,1200000.0
