,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
576959,for_sale,3.0,1.0,0.22,Neptune Township,New Jersey,7753.0,1265.0,2018-05-30,449900.0
576966,for_sale,5.0,4.0,0.31,Lakewood,New Jersey,8701.0,3900.0,2022-01-28,869000.0
576968,for_sale,7.0,8.0,1.82,Rumson,New Jersey,7760.0,9000.0,2002-07-18,2999999.0
576969,for_sale,5.0,4.0,0.15,Bay Head,New Jersey,8742.0,3400.0,1998-05-12,1995000.0
576976,for_sale,2.0,2.0,0.01,Lakewood,New Jersey,8701.0,1165.0,2020-01-17,199500.0
576977,for_sale,2.0,2.0,0.11,Brick,New Jersey,8724.0,1419.0,2007-03-30,313900.0
576978,for_sale,2.0,2.0,0.01,Tinton Falls,New Jersey,7712.0,1140.0,2015-07-09,330000.0
576981,for_sale,2.0,3.0,0.05,Eatontown,New Jersey,7724.0,2308.0,2017-09-07,649000.0
576983,for_sale,4.0,3.0,0.35,Jackson,New Jersey,8527.0,2400.0,2004-05-21,675000.0
576984,for_sale,2.0,3.0,1.81,Neptune City,New Jersey,7753.0,1389.0,2015-10-23,405000.0
576994,for_sale,5.0,3.0,0.17,Long Branch,New Jersey,7740.0,2500.0,2018-12-26,1999999.0
577015,for_sale,4.0,3.0,0.51,Brick,New Jersey,8723.0,2100.0,1990-07-31,395000.0
577017,for_sale,3.0,1.0,0.17,Brick,New Jersey,8724.0,1645.0,1992-07-29,395000.0
577021,for_sale,2.0,2.0,0.28,Manchester,New Jersey,8759.0,1812.0,2006-02-17,280000.0
577023,for_sale,2.0,2.0,0.14,Manchester,New Jersey,8759.0,2094.0,2021-02-16,378423.0
577026,for_sale,3.0,1.0,0.23,Howell,New Jersey,7731.0,848.0,2015-06-11,269900.0
577027,for_sale,3.0,1.0,3.03,Manchester,New Jersey,8759.0,1652.0,2008-01-29,190000.0
577030,for_sale,2.0,2.0,0.13,Manchester,New Jersey,8759.0,1426.0,2021-01-08,360000.0
577033,for_sale,2.0,2.0,0.03,Toms River,New Jersey,8755.0,1216.0,2019-08-20,250000.0
577036,for_sale,5.0,5.0,0.12,Bay Head,New Jersey,8742.0,4000.0,2020-10-29,2699900.0
577038,for_sale,4.0,3.0,0.23,Howell,New Jersey,7731.0,2100.0,2019-12-16,549900.0
577041,for_sale,7.0,5.0,0.73,Oakhurst,New Jersey,7755.0,5200.0,1985-06-26,4900000.0
577045,for_sale,4.0,4.0,0.2,Brick,New Jersey,8723.0,1560.0,1992-01-23,575000.0
577048,for_sale,8.0,5.0,0.33,Lakewood,New Jersey,8701.0,3146.0,2011-08-22,1250000.0
577049,for_sale,5.0,6.0,0.4,Sea Bright,New Jersey,7760.0,7760.0,1987-06-30,3995000.0
577054,for_sale,3.0,3.0,1.1,Long Branch,New Jersey,7740.0,1595.0,2001-06-29,999000.0
577064,for_sale,3.0,1.0,0.13,Neptune City,New Jersey,7753.0,1555.0,2016-12-15,399900.0
577069,for_sale,12.0,9.0,0.76,Mantoloking,New Jersey,8738.0,7793.0,2012-07-02,13999999.0
577073,for_sale,2.0,2.0,0.17,Manchester,New Jersey,8759.0,1552.0,2012-07-03,399900.0
577078,for_sale,2.0,2.0,0.11,Brick,New Jersey,8724.0,1509.0,2019-11-25,449000.0
577082,for_sale,3.0,2.0,0.23,Long Branch,New Jersey,7740.0,1360.0,2020-09-29,460000.0
577084,for_sale,3.0,3.0,0.5,Brielle,New Jersey,8730.0,4500.0,2020-01-31,1150000.0
577088,for_sale,5.0,4.0,1.38,Howell,New Jersey,7731.0,3242.0,1998-01-12,715000.0
577099,for_sale,4.0,4.0,0.18,Howell,New Jersey,7731.0,1976.0,1998-05-13,579900.0
577100,for_sale,5.0,4.0,0.34,Toms River,New Jersey,8755.0,2900.0,2017-09-07,889000.0
577101,for_sale,5.0,4.0,0.94,Lincroft,New Jersey,7738.0,3828.0,1999-07-28,1325000.0
577104,for_sale,4.0,4.0,0.16,Bay Head,New Jersey,8742.0,3200.0,2013-08-23,1499500.0
577107,for_sale,5.0,6.0,0.29,Sea Girt,New Jersey,8750.0,4400.0,1996-04-22,2999000.0
577114,for_sale,1.0,1.0,0.01,Jackson,New Jersey,8527.0,943.0,2007-01-19,189900.0
577115,for_sale,3.0,2.0,0.17,Brick,New Jersey,8724.0,1800.0,2013-05-30,419900.0
577124,for_sale,3.0,3.0,0.11,Lakewood,New Jersey,8701.0,2408.0,2013-03-20,529995.0
577125,for_sale,4.0,2.0,0.06,Bradley Beach,New Jersey,7720.0,1456.0,1986-01-31,699900.0
577126,for_sale,1.0,1.0,0.14,Manchester Township,New Jersey,8759.0,748.0,2018-04-06,120000.0
577129,for_sale,4.0,4.0,0.24,Brick,New Jersey,8724.0,2328.0,2020-09-21,625000.0
577136,for_sale,3.0,3.0,0.23,Oakhurst,New Jersey,7755.0,1100.0,2016-08-04,630000.0
577139,for_sale,4.0,4.0,0.73,Lincroft,New Jersey,7738.0,3281.0,2019-10-04,950000.0
577140,for_sale,4.0,2.0,0.42,Fair Haven,New Jersey,7704.0,1648.0,2017-09-19,995000.0
577147,for_sale,6.0,4.0,0.14,Asbury Park,New Jersey,7712.0,2400.0,2016-06-30,775000.0
577148,for_sale,6.0,4.0,0.09,Belmar,New Jersey,7719.0,2224.0,2001-09-17,749000.0
577150,for_sale,5.0,3.0,0.38,Brick,New Jersey,8724.0,4116.0,2014-07-02,2395000.0
577157,for_sale,2.0,2.0,0.12,Jackson,New Jersey,8527.0,1457.0,1996-12-23,354900.0
577160,for_sale,3.0,2.0,0.02,Red Bank,New Jersey,7701.0,1452.0,2017-04-04,410000.0
577163,for_sale,4.0,2.0,0.28,Brick,New Jersey,8724.0,2600.0,2009-12-29,550000.0
577166,for_sale,3.0,2.0,0.1,Ocean Township,New Jersey,7712.0,1764.0,1999-09-27,459000.0
577169,for_sale,2.0,2.0,0.17,Lakewood,New Jersey,8701.0,2320.0,2013-11-13,539900.0
577170,for_sale,2.0,2.0,0.01,Toms River,New Jersey,8755.0,1210.0,2005-05-17,210000.0
577172,for_sale,2.0,2.0,0.19,Jackson,New Jersey,8527.0,1787.0,2002-06-27,399900.0
577173,for_sale,3.0,2.0,0.23,Brick,New Jersey,8724.0,1214.0,2017-02-09,309000.0
577187,for_sale,3.0,3.0,0.22,Howell,New Jersey,7731.0,1500.0,2017-08-01,449000.0
577195,for_sale,4.0,4.0,0.29,Howell,New Jersey,7731.0,2084.0,1992-12-01,509900.0
577201,for_sale,4.0,4.0,0.38,Ocean Township,New Jersey,7712.0,2390.0,1997-04-10,799000.0
577204,for_sale,4.0,3.0,0.28,Long Branch,New Jersey,7740.0,2158.0,2016-03-31,989000.0
577206,for_sale,4.0,2.0,1.7,Howell,New Jersey,7731.0,2800.0,2019-03-07,650000.0
577212,for_sale,2.0,2.0,0.2,Brick,New Jersey,8723.0,1300.0,2005-12-28,250000.0
577218,for_sale,3.0,3.0,0.02,Tinton Falls,New Jersey,7712.0,2226.0,2017-09-18,495000.0
577225,for_sale,5.0,3.0,0.64,Freehold,New Jersey,7728.0,3160.0,2021-12-13,799999.0
577231,for_sale,4.0,2.0,0.27,Jackson,New Jersey,8527.0,1614.0,2021-11-12,449900.0
577239,for_sale,5.0,3.0,2.3,Howell,New Jersey,7731.0,2700.0,2019-06-25,600000.0
577244,for_sale,3.0,3.0,0.11,Lakewood,New Jersey,8701.0,2535.0,2016-08-15,569000.0
577257,for_sale,2.0,2.0,0.16,Toms River,New Jersey,8755.0,1883.0,2020-02-14,339000.0
577258,for_sale,2.0,2.0,0.15,Manchester Township,New Jersey,8759.0,1551.0,2007-05-09,299000.0
577260,for_sale,2.0,2.0,0.15,Manchester,New Jersey,8759.0,1664.0,2015-11-04,429900.0
577262,for_sale,2.0,1.0,0.17,Howell,New Jersey,7731.0,714.0,2019-08-15,315000.0
577263,for_sale,3.0,2.0,0.15,Howell,New Jersey,7731.0,1402.0,2019-09-26,475000.0
577272,for_sale,4.0,4.0,0.16,Farmingdale,New Jersey,7727.0,2408.0,2017-07-13,682000.0
577273,for_sale,4.0,2.0,0.14,Point Pleasant,New Jersey,8742.0,1506.0,2017-04-10,569000.0
577283,for_sale,6.0,7.0,0.19,Sea Girt,New Jersey,8750.0,4200.0,2021-06-07,2799000.0
577297,for_sale,2.0,2.0,0.23,Manchester,New Jersey,8759.0,1896.0,1987-03-30,320000.0
577308,for_sale,3.0,2.0,0.11,Wall,New Jersey,7719.0,1422.0,2013-11-04,539000.0
577311,for_sale,6.0,7.0,1.73,Colts Neck,New Jersey,7722.0,9116.0,2020-10-05,1849000.0
