,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
242411,for_sale,4.0,2.0,0.11,Providence,Rhode Island,2908.0,1267.0,2021-05-11,269900.0
242415,for_sale,5.0,2.0,0.07,Providence,Rhode Island,2908.0,988.0,1997-12-20,274900.0
242416,for_sale,2.0,2.0,0.07,Providence,Rhode Island,2908.0,756.0,2016-10-28,270000.0
242417,for_sale,3.0,2.0,0.07,Providence,Rhode Island,2908.0,1200.0,2020-09-11,354900.0
242418,for_sale,3.0,2.0,0.28,Providence,Rhode Island,2908.0,2912.0,2005-12-30,949900.0
242419,for_sale,4.0,2.0,0.13,Providence,Rhode Island,2908.0,1662.0,2018-10-16,365000.0
242420,for_sale,3.0,2.0,0.19,North Providence,Rhode Island,2908.0,2224.0,2018-01-08,424900.0
242421,for_sale,7.0,5.0,0.09,Providence,Rhode Island,2908.0,3706.0,2020-02-12,440000.0
242422,for_sale,3.0,2.0,0.07,Providence,Rhode Island,2908.0,1657.0,2017-10-16,320000.0
242423,for_sale,6.0,3.0,0.09,Providence,Rhode Island,2908.0,4339.0,2008-08-28,449000.0
242424,for_sale,9.0,4.0,0.07,Providence,Rhode Island,2908.0,4137.0,2018-08-23,399000.0
242427,for_sale,2.0,1.0,0.11,Providence,Rhode Island,2908.0,1076.0,2021-11-19,259900.0
242428,for_sale,3.0,3.0,0.08,Providence,Rhode Island,2908.0,1328.0,2016-03-17,350000.0
242430,for_sale,2.0,1.0,0.15,Providence,Rhode Island,2908.0,1100.0,2018-06-22,299900.0
242431,for_sale,3.0,2.0,0.07,Providence,Rhode Island,2908.0,3384.0,2017-02-28,299900.0
242433,for_sale,2.0,2.0,0.07,Providence,Rhode Island,2908.0,1024.0,2009-06-02,249900.0
242435,for_sale,3.0,2.0,0.1,Providence,Rhode Island,2908.0,1600.0,2001-05-18,350000.0
242437,for_sale,5.0,3.0,0.06,Providence,Rhode Island,2908.0,3150.0,2020-10-01,379900.0
242438,for_sale,3.0,2.0,0.1,Providence,Rhode Island,2908.0,1382.0,2017-07-17,347500.0
242441,for_sale,6.0,3.0,0.08,Providence,Rhode Island,2908.0,3327.0,2019-07-16,500000.0
242442,for_sale,4.0,2.0,0.03,Providence,Rhode Island,2908.0,2142.0,2020-04-27,299000.0
242447,for_sale,6.0,2.0,0.06,Providence,Rhode Island,2909.0,4671.0,2008-06-26,375000.0
242448,for_sale,3.0,1.0,0.07,Providence,Rhode Island,2909.0,1137.0,2018-08-27,239000.0
242451,for_sale,3.0,2.0,0.1,Cranston,Rhode Island,2910.0,1210.0,1998-05-01,249900.0
242452,for_sale,3.0,2.0,0.05,Cranston,Rhode Island,2910.0,1448.0,2017-09-15,280000.0
242454,for_sale,2.0,2.0,0.11,Cranston,Rhode Island,2910.0,966.0,2019-04-22,240000.0
242455,for_sale,3.0,2.0,0.03,Cranston,Rhode Island,2910.0,1428.0,2012-06-08,374900.0
242456,for_sale,3.0,2.0,0.21,Cranston,Rhode Island,2910.0,3591.0,2017-11-30,380000.0
242460,for_sale,3.0,2.0,0.11,Cranston,Rhode Island,2910.0,1645.0,2021-08-13,339900.0
242462,for_sale,4.0,1.0,0.09,Cranston,Rhode Island,2910.0,1600.0,2020-07-24,350000.0
242463,for_sale,3.0,3.0,0.11,Cranston,Rhode Island,2910.0,2036.0,2019-02-28,419900.0
242466,for_sale,3.0,2.0,0.09,Cranston,Rhode Island,2910.0,1128.0,2020-07-27,280000.0
242467,for_sale,3.0,2.0,0.11,Cranston,Rhode Island,2910.0,1421.0,2017-11-13,349900.0
242469,for_sale,3.0,2.0,0.14,Cranston,Rhode Island,2910.0,1446.0,2008-02-28,289000.0
242470,for_sale,3.0,1.0,0.12,Cranston,Rhode Island,2910.0,1310.0,2020-07-15,320000.0
242471,for_sale,10.0,4.0,0.22,Cranston,Rhode Island,2910.0,6520.0,2020-06-17,575000.0
242472,for_sale,3.0,2.0,0.08,Cranston,Rhode Island,2910.0,1250.0,2004-03-16,325000.0
242474,for_sale,3.0,2.0,0.09,Cranston,Rhode Island,2910.0,1212.0,2020-06-09,315000.0
242475,for_sale,3.0,1.0,0.11,Cranston,Rhode Island,2910.0,1250.0,2009-07-09,369900.0
242476,for_sale,3.0,2.0,0.16,Cranston,Rhode Island,2910.0,1500.0,2019-12-02,355000.0
242477,for_sale,2.0,1.0,0.13,Cranston,Rhode Island,2910.0,1247.0,2003-03-28,259900.0
242478,for_sale,4.0,1.0,0.13,Cranston,Rhode Island,2910.0,1495.0,1992-03-02,317900.0
242479,for_sale,3.0,2.0,0.11,Cranston,Rhode Island,2910.0,1638.0,2022-01-07,325000.0
242480,for_sale,3.0,1.0,0.09,Cranston,Rhode Island,2910.0,1170.0,2006-12-21,289900.0
242483,for_sale,3.0,2.0,0.16,Cranston,Rhode Island,2910.0,1608.0,2017-05-19,399900.0
242486,for_sale,2.0,1.0,0.11,Cranston,Rhode Island,2910.0,985.0,2017-05-30,264900.0
