,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
618168,for_sale,4.0,2.0,0.34,Old Bridge,New Jersey,8857.0,1959.0,1974-10-30,464500.0
618171,for_sale,2.0,3.0,0.01,Perth Amboy,New Jersey,8861.0,1283.0,2007-11-16,285000.0
618173,for_sale,2.0,3.0,0.02,South Brunswick,New Jersey,8824.0,1600.0,2013-07-09,359900.0
618175,for_sale,4.0,2.0,0.22,Milltown,New Jersey,8850.0,1998.0,2015-09-25,499000.0
618176,for_sale,4.0,3.0,0.4,Randolph,New Jersey,7869.0,2400.0,1991-09-04,625000.0
618177,for_sale,2.0,2.0,0.08,South Amboy,New Jersey,8879.0,1024.0,2001-02-22,325000.0
618179,for_sale,4.0,2.0,0.1,Highland Park,New Jersey,8904.0,1868.0,1998-10-01,439900.0
618180,for_sale,4.0,3.0,0.42,Mountainside,New Jersey,7092.0,2400.0,2016-01-22,810000.0
618184,for_sale,3.0,2.0,0.46,Bridgewater Twp,New Jersey,8807.0,1344.0,2001-10-25,480000.0
618188,for_sale,4.0,3.0,0.4,East Brunswick,New Jersey,8816.0,1995.0,2016-10-04,579900.0
618196,for_sale,3.0,2.0,0.18,Staten Island,New York,10309.0,2600.0,1994-08-08,1089888.0
618197,for_sale,3.0,3.0,0.21,Edison,New Jersey,8820.0,1631.0,1988-06-29,599000.0
618200,for_sale,4.0,3.0,0.18,Edison,New Jersey,8820.0,2027.0,1995-06-26,699900.0
618203,for_sale,6.0,1.0,0.21,Staten Island,New York,10307.0,2064.0,1997-02-11,599900.0
618209,for_sale,5.0,3.0,0.09,Newark,New Jersey,7112.0,19998.0,2018-11-29,479000.0
618210,for_sale,4.0,3.0,0.22,Jefferson Township,New Jersey,7849.0,2420.0,2002-09-03,630000.0
618216,for_sale,5.0,3.0,0.57,Franklin Twp,New Jersey,8873.0,2799.0,1998-08-17,749000.0
618220,for_sale,2.0,2.0,0.03,West Orange,New Jersey,7052.0,2595.0,2000-03-18,399900.0
618221,for_sale,3.0,2.0,0.17,Rockaway,New Jersey,7866.0,1200.0,1998-08-03,379900.0
618233,for_sale,5.0,3.0,0.17,Millburn,New Jersey,7041.0,2050.0,1997-02-24,795000.0
618235,for_sale,5.0,6.0,0.31,Madison,New Jersey,7940.0,4100.0,2005-11-10,2100000.0
618250,for_sale,3.0,2.0,0.06,Perth Amboy,New Jersey,8861.0,1772.0,2009-09-14,360000.0
618260,for_sale,5.0,5.0,0.11,Kenilworth,New Jersey,7033.0,3500.0,2012-11-19,824000.0
618271,for_sale,3.0,3.0,0.19,Old Bridge,New Jersey,8857.0,1904.0,2003-08-26,625000.0
618272,for_sale,4.0,4.0,0.44,Hillsborough,New Jersey,8844.0,2975.0,2005-04-22,749000.0
618275,for_sale,4.0,4.0,0.21,Millburn,New Jersey,7041.0,3863.0,1990-07-03,999000.0
618276,for_sale,5.0,4.0,0.53,Edison,New Jersey,8820.0,3528.0,1996-10-22,1199000.0
618277,for_sale,5.0,4.0,0.31,East Brunswick,New Jersey,8816.0,2242.0,2019-04-18,739900.0
618279,for_sale,4.0,3.0,0.18,Edison,New Jersey,8817.0,2000.0,1992-11-17,649900.0
618281,for_sale,4.0,3.0,0.53,Hillsborough,New Jersey,8844.0,3360.0,2013-02-27,950000.0
618288,for_sale,4.0,2.0,0.13,South River,New Jersey,8882.0,1468.0,1995-02-08,294900.0
618289,for_sale,3.0,2.0,0.09,Carteret,New Jersey,7008.0,1452.0,2005-03-07,389000.0
618291,for_sale,2.0,3.0,0.05,Franklin,New Jersey,8873.0,1620.0,2002-10-03,360000.0
618295,for_sale,3.0,2.0,0.35,East Brunswick,New Jersey,8816.0,2028.0,2004-01-20,449000.0
618297,for_sale,4.0,3.0,0.41,North Brunswick,New Jersey,8902.0,3252.0,1988-05-06,715900.0
618298,for_sale,5.0,3.0,0.11,Old Bridge,New Jersey,8857.0,3110.0,1995-08-08,699000.0
618303,for_sale,1.0,1.0,0.04,Spotswood,New Jersey,8884.0,800.0,2019-09-19,210000.0
618306,for_sale,4.0,3.0,0.49,South Brunswick,New Jersey,8852.0,2324.0,2015-11-24,650000.0
618307,for_sale,3.0,2.0,0.13,Edison,New Jersey,8837.0,1400.0,2019-09-20,399900.0
618312,for_sale,6.0,4.0,0.26,Edison,New Jersey,8820.0,2700.0,1992-01-03,700000.0
618313,for_sale,4.0,3.0,0.34,Plainsboro,New Jersey,8536.0,2366.0,1989-12-07,699000.0
618314,for_sale,4.0,3.0,0.11,Carteret,New Jersey,7008.0,2148.0,2005-11-18,575000.0
618315,for_sale,3.0,2.0,0.35,East Brunswick,New Jersey,8816.0,1847.0,2007-07-10,550000.0
618316,for_sale,3.0,1.0,0.14,Woodbridge Proper,New Jersey,7095.0,1180.0,2020-10-05,385000.0
618319,for_sale,4.0,4.0,0.38,Highland Park,New Jersey,8904.0,2740.0,2015-08-11,749000.0
618325,for_sale,3.0,3.0,0.23,Edison,New Jersey,8817.0,1742.0,2010-05-14,574900.0
618328,for_sale,5.0,3.0,0.22,Edison,New Jersey,8817.0,2567.0,1995-06-26,769999.0
618333,for_sale,3.0,3.0,0.1,Rahway,New Jersey,7065.0,1800.0,2017-11-13,474900.0
618338,for_sale,6.0,5.0,0.06,Elizabeth City,New Jersey,7202.0,19998.0,2008-10-29,639900.0
618345,for_sale,3.0,3.0,0.15,Mount Olive Township,New Jersey,7836.0,3140.0,2017-11-30,950000.0
618350,for_sale,5.0,2.0,0.52,Berkeley Heights Twp,New Jersey,7922.0,2170.0,1993-08-27,549000.0
618351,for_sale,2.0,2.0,0.02,Cranford,New Jersey,7016.0,1240.0,2017-04-26,389900.0
618355,for_sale,4.0,3.0,0.41,Staten Island,New York,10307.0,5760.0,2003-10-21,1899000.0
618360,for_sale,4.0,4.0,0.26,Springfield,New Jersey,7081.0,4015.0,2019-06-06,999000.0
618368,for_sale,5.0,3.0,0.26,Princeton,New Jersey,8540.0,2624.0,2016-08-22,1050000.0
618369,for_sale,4.0,3.0,0.23,Staten Island,New York,10309.0,3520.0,2004-03-22,1325000.0
618374,for_sale,2.0,2.0,0.02,New Brunswick,New Jersey,8901.0,1181.0,2018-08-22,249900.0
618379,for_sale,3.0,1.0,0.17,Woodbridge,New Jersey,7001.0,1008.0,2022-02-08,325000.0
618381,for_sale,3.0,3.0,0.1,Montville Township,New Jersey,7045.0,2542.0,1996-09-12,625000.0
618387,for_sale,1.0,2.0,1.19,Perth Amboy,New Jersey,8861.0,1023.0,2001-06-26,349000.0
618390,for_sale,4.0,3.0,0.33,South Brunswick,New Jersey,8824.0,1852.0,2016-08-09,479900.0
618391,for_sale,2.0,2.0,0.18,Verona,New Jersey,7044.0,1676.0,1987-12-03,525000.0
618397,for_sale,5.0,5.0,1.6,Boonton Township,New Jersey,7005.0,4241.0,2007-10-26,1189800.0
618400,for_sale,5.0,3.0,0.29,Piscataway,New Jersey,8854.0,2700.0,2022-01-18,695500.0
618406,for_sale,5.0,9.0,5.64,Bernardsville,New Jersey,7931.0,10296.0,2000-08-09,3995000.0
618413,for_sale,7.0,6.0,0.79,Chatham Township,New Jersey,7928.0,6000.0,2011-05-27,1795000.0
618414,for_sale,5.0,5.0,0.14,Staten Island,New York,10312.0,2724.0,2007-04-24,1200000.0
618415,for_sale,3.0,1.0,0.15,East Brunswick,New Jersey,8816.0,1212.0,2004-04-14,300000.0
618426,for_sale,5.0,3.0,0.44,North Brunswick,New Jersey,8902.0,3314.0,2004-06-30,750000.0
618429,for_sale,4.0,4.0,0.38,Randolph,New Jersey,7869.0,3042.0,2020-02-07,790000.0
618433,for_sale,6.0,2.0,0.1,South Bound Brook,New Jersey,8880.0,2688.0,1997-01-02,229900.0
618436,for_sale,4.0,4.0,1.78,Readington,New Jersey,8833.0,3954.0,2015-07-20,844900.0
618438,for_sale,2.0,2.0,0.01,Edison,New Jersey,8837.0,1291.0,2006-07-12,289000.0
618444,for_sale,5.0,5.0,0.46,East Brunswick,New Jersey,8816.0,4182.0,2006-09-07,899900.0
618445,for_sale,4.0,3.0,0.21,Union Twp,New Jersey,7083.0,19998.0,2021-01-15,699000.0
618455,for_sale,2.0,2.0,0.2,North Brunswick,New Jersey,8902.0,1011.0,2001-07-24,269000.0
618461,for_sale,4.0,4.0,0.44,Montgomery Twp,New Jersey,8502.0,2606.0,1999-04-06,789000.0
618462,for_sale,4.0,3.0,0.24,South River,New Jersey,8882.0,2756.0,1999-11-22,680000.0
618463,for_sale,3.0,2.0,0.25,Springfield,New Jersey,7081.0,1500.0,1986-03-14,550000.0
618466,for_sale,9.0,3.0,0.11,Port Reading,New Jersey,7064.0,3634.0,1985-11-30,669000.0
618468,for_sale,5.0,4.0,0.22,East Brunswick,New Jersey,8816.0,3386.0,2019-09-06,1350000.0
618469,for_sale,4.0,3.0,0.42,Iselin,New Jersey,8830.0,2732.0,2004-08-03,850000.0
618470,for_sale,5.0,3.0,0.19,Edison,New Jersey,8817.0,3500.0,2021-04-13,899000.0
618473,for_sale,4.0,5.0,0.11,Staten Island,New York,10309.0,3300.0,2011-03-04,1449941.0
618479,for_sale,4.0,3.0,0.12,Menlo Park Terrace,New Jersey,8840.0,1313.0,1997-03-06,409900.0
618480,for_sale,4.0,4.0,0.79,Randolph,New Jersey,7869.0,3500.0,2006-07-12,824900.0
618483,for_sale,6.0,5.0,0.91,Summit,New Jersey,7901.0,39901.0,2008-10-14,2490000.0
618484,for_sale,4.0,3.0,0.13,South Brunswick,New Jersey,8810.0,2232.0,1987-02-20,539900.0
618496,for_sale,4.0,3.0,1.77,Readington Twp,New Jersey,8889.0,1872.0,2016-08-26,569000.0
618499,for_sale,3.0,2.0,0.14,Staten Island,New York,10309.0,1616.0,1991-09-23,728888.0
618505,for_sale,5.0,4.0,0.72,Bernards Twp,New Jersey,7920.0,3485.0,2006-09-29,1090000.0
618508,for_sale,4.0,4.0,0.93,Scotch Plains,New Jersey,7076.0,2402.0,2015-09-10,799999.0
618516,for_sale,4.0,3.0,0.21,Boonton,New Jersey,7005.0,2086.0,2020-11-09,595000.0
618517,for_sale,3.0,3.0,0.17,Netcong,New Jersey,7857.0,1652.0,2018-03-28,350000.0
618518,for_sale,4.0,3.0,4.13,Sparta,New Jersey,7871.0,3231.0,2005-07-12,550000.0
618538,for_sale,4.0,3.0,0.28,Hillsborough,New Jersey,8844.0,2512.0,2016-05-25,699900.0
618540,for_sale,2.0,3.0,11.96,Union Twp,New Jersey,7083.0,1420.0,2018-05-03,375000.0
618545,for_sale,4.0,4.0,0.32,Mountainside,New Jersey,7092.0,2463.0,2019-06-21,867000.0
618548,for_sale,4.0,4.0,0.64,Princeton,New Jersey,8540.0,2829.0,1992-06-25,799000.0
618549,for_sale,4.0,3.0,0.4,Green Brook,New Jersey,8812.0,2994.0,1992-07-13,875000.0
618555,for_sale,5.0,4.0,0.38,Princeton,New Jersey,8540.0,4642.0,2004-03-19,1695000.0
618560,for_sale,2.0,2.0,0.02,Hillsborough,New Jersey,8844.0,1268.0,2018-08-08,269900.0
618561,for_sale,3.0,3.0,0.14,Highland Park,New Jersey,8904.0,2256.0,2015-08-19,595000.0
618568,for_sale,3.0,2.0,0.14,Port Reading,New Jersey,7064.0,1324.0,1987-08-21,429900.0
618570,for_sale,3.0,3.0,0.1,East Brunswick,New Jersey,8816.0,1584.0,2018-07-25,384999.0
618572,for_sale,3.0,1.0,0.22,Piscataway,New Jersey,8854.0,1170.0,2004-02-02,355000.0
618578,for_sale,4.0,3.0,0.64,Montgomery Twp,New Jersey,8502.0,3770.0,2003-10-06,879000.0
618580,for_sale,5.0,2.0,0.18,Avenel,New Jersey,7001.0,1387.0,2020-12-22,484000.0
618584,for_sale,4.0,3.0,0.34,East Brunswick,New Jersey,8816.0,2054.0,1987-05-21,574999.0
618587,for_sale,4.0,3.0,2.32,Rockaway,New Jersey,7005.0,2630.0,1994-09-29,699000.0
618590,for_sale,4.0,3.0,0.18,Livingston,New Jersey,7039.0,3493.0,2017-08-24,1180000.0
618591,for_sale,4.0,3.0,0.14,Bridgewater Twp,New Jersey,8807.0,2257.0,1999-02-02,679000.0
618595,for_sale,2.0,2.0,0.0,New Brunswick,New Jersey,8901.0,1219.0,2006-09-13,539999.0
618596,for_sale,4.0,2.0,0.23,Staten Island,New York,10309.0,3224.0,2001-06-21,1390000.0
618606,for_sale,4.0,3.0,0.11,Middlesex,New Jersey,8846.0,2190.0,2020-03-30,499000.0
618608,for_sale,4.0,4.0,0.35,Mountainside,New Jersey,7092.0,3963.0,2019-08-30,949000.0
618619,for_sale,5.0,3.0,0.17,Boonton,New Jersey,7005.0,2386.0,1998-07-07,465000.0
618621,for_sale,4.0,2.0,0.15,East Brunswick,New Jersey,8816.0,1590.0,2017-11-28,435000.0
618627,for_sale,3.0,2.0,0.35,South Brunswick,New Jersey,8824.0,1331.0,2008-10-23,475000.0
618629,for_sale,3.0,3.0,0.06,Staten Island,New York,10307.0,1800.0,2015-11-09,920000.0
618635,for_sale,3.0,2.0,0.23,Old Bridge,New Jersey,8857.0,1085.0,2019-08-12,445000.0
618636,for_sale,4.0,3.0,0.26,Edison,New Jersey,8820.0,2215.0,1986-04-29,735000.0
618641,for_sale,3.0,3.0,0.42,Parsippany Troy Hills Township,New Jersey,7950.0,1540.0,1989-05-15,420000.0
618646,for_sale,7.0,4.0,0.07,Irvington,New Jersey,7111.0,19998.0,2022-02-09,525000.0
618650,for_sale,6.0,6.0,1.5,Warren Twp,New Jersey,7059.0,6759.0,2010-06-18,2199000.0
618658,for_sale,4.0,4.0,5.73,Chester Township,New Jersey,7930.0,3168.0,2005-06-03,875000.0
618661,for_sale,7.0,5.0,0.13,Roselle Park,New Jersey,7204.0,3450.0,1998-12-31,699999.0
618681,for_sale,5.0,3.0,0.09,Staten Island,New York,10309.0,2124.0,2020-01-17,950000.0
618686,for_sale,6.0,3.0,0.19,Branchburg Township,New Jersey,8853.0,2980.0,2013-03-05,525000.0
618687,for_sale,4.0,2.0,0.14,Linden,New Jersey,7036.0,1923.0,1999-08-27,350000.0
618689,for_sale,3.0,3.0,0.03,Edison,New Jersey,8817.0,1600.0,1998-09-28,449000.0
618691,for_sale,3.0,4.0,0.02,Perth Amboy,New Jersey,8861.0,2292.0,2008-01-09,420000.0
618692,for_sale,2.0,2.0,0.18,East Brunswick,New Jersey,8816.0,1268.0,2018-08-16,419900.0
618693,for_sale,3.0,4.0,0.03,North Brunswick,New Jersey,8902.0,2703.0,2017-01-20,600000.0
618697,for_sale,3.0,2.0,0.31,East Brunswick,New Jersey,8816.0,1336.0,2000-01-07,425000.0
618700,for_sale,3.0,1.0,0.05,Perth Amboy,New Jersey,8861.0,1112.0,2005-09-23,329900.0
618711,for_sale,2.0,2.0,0.03,Staten Island,New York,10309.0,1600.0,2013-07-05,549000.0
618721,for_sale,2.0,1.0,0.04,Staten Island,New York,10309.0,1904.0,1999-05-03,749900.0
618723,for_sale,5.0,4.0,0.61,Millburn,New Jersey,7078.0,4859.0,1996-11-14,2088000.0
618724,for_sale,4.0,3.0,0.2,Linden,New Jersey,7036.0,1770.0,2016-03-07,675000.0
618725,for_sale,5.0,6.0,0.52,Millburn,New Jersey,7078.0,5206.0,2004-11-05,2595000.0
618729,for_sale,3.0,3.0,0.65,Franklin Twp,New Jersey,8873.0,2720.0,2007-09-13,516000.0
618730,for_sale,2.0,2.0,0.03,Bridgewater Twp,New Jersey,8807.0,1087.0,2014-01-02,304900.0
618731,for_sale,3.0,3.0,0.05,Franklin Twp,New Jersey,8873.0,2379.0,2018-10-02,449900.0
618737,for_sale,3.0,2.0,0.69,Edison,New Jersey,8820.0,1064.0,1994-04-28,519000.0
618743,for_sale,3.0,3.0,0.15,Mount Arlington,New Jersey,7856.0,1684.0,2020-09-23,450000.0
618745,for_sale,4.0,3.0,0.31,Mountain Lakes,New Jersey,7046.0,2428.0,2014-08-07,849900.0
618755,for_sale,4.0,3.0,0.37,East Brunswick,New Jersey,8816.0,1848.0,1993-09-08,525000.0
618760,for_sale,4.0,4.0,0.13,Bernards Twp,New Jersey,7920.0,2332.0,1998-04-02,835000.0
618765,for_sale,4.0,4.0,0.15,Edison,New Jersey,8837.0,1548.0,2004-09-02,579999.0
618770,for_sale,2.0,3.0,0.04,Piscataway Twp,New Jersey,8854.0,1692.0,2007-02-22,390000.0
618775,for_sale,3.0,3.0,1.0,Chester Township,New Jersey,7930.0,2253.0,2002-07-03,500000.0
618776,for_sale,3.0,2.0,0.11,Edison,New Jersey,8817.0,1200.0,1987-10-20,304000.0
