,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
287562,for_sale,4.0,4.0,0.47,Ipswich,Massachusetts,1938.0,5207.0,2006-04-24,1397000.0
287563,for_sale,4.0,5.0,0.81,West Newbury,Massachusetts,1985.0,4250.0,2006-09-29,1250000.0
287579,for_sale,3.0,1.0,0.03,North Andover,Massachusetts,1845.0,1126.0,2001-12-07,379900.0
287581,for_sale,3.0,1.0,3.25,Newton,New Hampshire,3858.0,1625.0,2013-12-27,419900.0
287583,for_sale,3.0,6.0,1.7,South Hampton,New Hampshire,3827.0,7577.0,2013-05-07,975000.0
287584,for_sale,3.0,3.0,0.54,Haverhill,Massachusetts,1830.0,2322.0,2006-09-29,529900.0
287586,for_sale,3.0,2.0,0.27,Methuen,Massachusetts,1844.0,2373.0,2018-08-07,450000.0
287588,for_sale,3.0,2.0,0.15,Salisbury,Massachusetts,1952.0,1326.0,2000-11-30,475000.0
287590,for_sale,3.0,3.0,0.2,Haverhill,Massachusetts,1830.0,1824.0,1997-01-23,609000.0
287594,for_sale,5.0,2.0,1.21,Epping,New Hampshire,3042.0,2504.0,2007-11-19,619900.0
287595,for_sale,4.0,3.0,1.84,Merrimac,Massachusetts,1860.0,2955.0,2000-05-12,749900.0
287598,for_sale,7.0,3.0,0.04,Lawrence,Massachusetts,1840.0,2900.0,2009-03-06,479900.0
287599,for_sale,4.0,3.0,0.1,Newburyport,Massachusetts,1950.0,2669.0,1992-09-22,869000.0
287600,for_sale,3.0,2.0,0.66,North Andover,Massachusetts,1845.0,1983.0,1995-07-31,605000.0
287601,for_sale,5.0,5.0,0.87,Atkinson,New Hampshire,3811.0,5460.0,2012-10-02,1595000.0
287602,for_sale,3.0,3.0,0.57,Andover,Massachusetts,1810.0,2719.0,2015-03-17,1250000.0
287603,for_sale,3.0,3.0,0.42,Danvers,Massachusetts,1923.0,1992.0,1991-06-17,689000.0
287625,for_sale,3.0,2.0,0.63,Derry,New Hampshire,3038.0,1541.0,2015-06-30,440000.0
287627,for_sale,4.0,3.0,0.28,Haverhill,Massachusetts,1830.0,1482.0,2002-06-03,399999.0
287628,for_sale,3.0,2.0,1.3,Haverhill,Massachusetts,1832.0,1870.0,2010-12-15,549900.0
287629,for_sale,4.0,3.0,0.81,Windham,New Hampshire,3087.0,4845.0,2008-04-18,1100000.0
287632,for_sale,6.0,3.0,0.18,Derry,New Hampshire,3038.0,2130.0,2009-11-24,354999.0
287633,for_sale,4.0,3.0,3.44,Haverhill,Massachusetts,1835.0,3526.0,2006-07-14,779900.0
287634,for_sale,3.0,3.0,1.84,Haverhill,Massachusetts,1832.0,2941.0,2010-11-01,759000.0
287635,for_sale,4.0,3.0,1.65,Windham,New Hampshire,3087.0,3692.0,2018-06-25,899900.0
287636,for_sale,2.0,1.0,0.35,Methuen,Massachusetts,1844.0,1008.0,2006-12-28,269900.0
287640,for_sale,3.0,1.0,0.25,Methuen,Massachusetts,1844.0,1199.0,1981-06-01,445000.0
287643,for_sale,3.0,2.0,0.17,Hamilton,Massachusetts,1982.0,1550.0,1995-06-21,769000.0
287644,for_sale,3.0,2.0,0.16,Andover,Massachusetts,1810.0,1650.0,2003-03-19,665000.0
287646,for_sale,4.0,3.0,0.86,Newburyport,Massachusetts,1950.0,3819.0,2002-07-25,1625000.0
