,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
685274,for_sale,3.0,2.0,0.22,Mays Landing,New Jersey,8330.0,2100.0,2016-12-13,239900.0
685278,for_sale,2.0,1.0,0.16,Villas,New Jersey,8251.0,864.0,2022-04-29,349900.0
685281,for_sale,2.0,1.0,0.06,Millville,New Jersey,8332.0,802.0,2000-12-12,65000.0
685284,for_sale,3.0,3.0,0.38,Vineland,New Jersey,8361.0,1952.0,2009-10-21,299000.0
685286,for_sale,2.0,1.0,0.13,Millville,New Jersey,8332.0,768.0,1999-06-21,135000.0
685292,for_sale,4.0,2.0,0.2,Port Norris,New Jersey,8349.0,2114.0,2016-09-12,85000.0
685294,for_sale,4.0,4.0,0.29,Millville,New Jersey,8332.0,1622.0,1977-08-12,224900.0
685297,for_sale,2.0,1.0,1.36,Vineland,New Jersey,8361.0,1075.0,2008-05-01,184900.0
685299,for_sale,4.0,3.0,0.77,Cape May Court House,New Jersey,8210.0,2987.0,2022-04-15,530400.0
685300,for_sale,2.0,2.0,0.25,Millville,New Jersey,8332.0,1464.0,2007-07-03,249000.0
685306,for_sale,2.0,2.0,0.11,Villas,New Jersey,8251.0,1360.0,2022-04-22,319000.0
685307,for_sale,4.0,2.0,0.2,North Cape May,New Jersey,8204.0,1376.0,2022-04-15,379900.0
685309,for_sale,5.0,3.0,0.49,Vineland,New Jersey,8360.0,2016.0,2012-10-03,299900.0
685311,for_sale,3.0,2.0,0.1,Villas,New Jersey,8251.0,960.0,2022-05-16,275000.0
685314,for_sale,2.0,1.0,0.34,Millville,New Jersey,8332.0,1064.0,1993-05-03,199999.0
685315,for_sale,2.0,1.0,0.14,Mays Landing,New Jersey,8330.0,680.0,1994-07-27,159900.0
685316,for_sale,3.0,2.0,0.11,Villas,New Jersey,8251.0,936.0,2022-04-29,329000.0
685317,for_sale,3.0,1.0,0.11,Mays Landing,New Jersey,8330.0,1144.0,2008-04-02,225000.0
685318,for_sale,4.0,2.0,10.0,Mays Landing,New Jersey,8330.0,2392.0,2000-10-12,525000.0
685319,for_sale,2.0,1.0,0.21,Villas,New Jersey,8251.0,648.0,2015-08-25,239900.0
685320,for_sale,2.0,1.0,0.07,Villas,New Jersey,8251.0,480.0,2017-11-22,199900.0
685322,for_sale,3.0,2.0,2.29,Woodbine,New Jersey,8270.0,1672.0,1997-01-21,109000.0
685323,for_sale,3.0,2.0,0.6,Millville,New Jersey,8332.0,2306.0,1999-09-16,109000.0
685326,for_sale,3.0,2.0,0.6,Millville,New Jersey,8332.0,1708.0,2009-10-08,165000.0
685327,for_sale,3.0,1.0,0.24,Vineland,New Jersey,8361.0,1869.0,2004-06-04,150000.0
