,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
453864,for_sale,3.0,3.0,0.18,Bridgeport,Connecticut,6606.0,1760.0,2006-08-17,349000.0
453866,for_sale,9.0,3.0,0.1,Waterbury,Connecticut,6710.0,4569.0,2018-03-08,360000.0
453869,for_sale,3.0,2.0,0.08,New Haven,Connecticut,6511.0,1048.0,2019-12-31,190000.0
453874,for_sale,2.0,3.0,0.11,West Haven,Connecticut,6516.0,2200.0,1999-08-02,649900.0
453879,for_sale,3.0,2.0,0.14,Waterbury,Connecticut,6708.0,1450.0,2020-04-01,244999.0
453880,for_sale,4.0,7.0,7.99,Middlebury,Connecticut,6762.0,5741.0,2005-03-31,2750000.0
453883,for_sale,2.0,2.0,0.35,Torrington,Connecticut,6790.0,912.0,2021-06-28,225000.0
453884,for_sale,3.0,2.0,0.06,Bridgeport,Connecticut,6606.0,1184.0,2013-06-17,219900.0
453887,for_sale,4.0,3.0,0.57,Simsbury,Connecticut,6070.0,2022.0,1995-05-31,400000.0
453888,for_sale,8.0,3.0,0.09,New Haven,Connecticut,6519.0,3008.0,2003-03-19,419999.0
453892,for_sale,3.0,1.0,0.17,Waterbury,Connecticut,6706.0,1080.0,2022-01-06,200500.0
453893,for_sale,4.0,3.0,0.05,Milford,Connecticut,6460.0,1580.0,2014-06-10,425000.0
453898,for_sale,2.0,1.0,0.07,West Haven,Connecticut,6516.0,1150.0,2018-09-20,274900.0
453900,for_sale,3.0,2.0,0.16,Shelton,Connecticut,6484.0,950.0,1993-06-04,339000.0
453901,for_sale,4.0,4.0,5.85,Roxbury,Connecticut,6783.0,3162.0,2020-12-23,1250000.0
453902,for_sale,3.0,2.0,0.18,Bridgeport,Connecticut,6604.0,1152.0,2007-06-26,340000.0
453904,for_sale,3.0,3.0,1.08,Prospect,Connecticut,6712.0,2800.0,2021-02-26,489975.0
453913,for_sale,3.0,2.0,0.09,Ansonia,Connecticut,6401.0,1050.0,2020-06-09,189900.0
453915,for_sale,3.0,2.0,0.4,New Britain,Connecticut,6052.0,1798.0,2013-06-03,239900.0
453917,for_sale,3.0,1.0,0.08,Bridgeport,Connecticut,6607.0,1305.0,2017-02-28,230000.0
453921,for_sale,2.0,2.0,0.19,Waterbury,Connecticut,6708.0,960.0,2006-07-05,217500.0
453922,for_sale,4.0,2.0,0.23,Waterbury,Connecticut,6704.0,1296.0,2007-03-16,230000.0
453923,for_sale,3.0,3.0,0.34,Waterbury,Connecticut,6708.0,1500.0,2002-07-31,279900.0
453926,for_sale,3.0,1.0,0.25,Wolcott,Connecticut,6705.0,936.0,2016-06-07,205000.0
453930,for_sale,4.0,2.0,0.17,Waterbury,Connecticut,6704.0,1220.0,2014-04-22,239000.0
453931,for_sale,3.0,2.0,0.09,Fairfield,Connecticut,6825.0,1210.0,2020-09-29,395000.0
453933,for_sale,4.0,4.0,4.32,North Branford,Connecticut,6471.0,2531.0,1996-04-17,599900.0
453934,for_sale,3.0,2.0,0.17,Waterbury,Connecticut,6704.0,1415.0,2021-10-12,249900.0
453936,for_sale,4.0,3.0,0.73,Simsbury,Connecticut,6089.0,2962.0,2005-04-08,624900.0
453938,for_sale,4.0,4.0,0.36,Centereach,New York,11720.0,2800.0,1999-05-14,699999.0
453940,for_sale,5.0,4.0,0.6,Port Jefferson,New York,11777.0,3766.0,2019-01-22,619000.0
453942,for_sale,2.0,2.0,0.07,Ridge,New York,11961.0,1149.0,2016-10-25,399990.0
453946,for_sale,4.0,3.0,0.25,Meriden,Connecticut,6451.0,1500.0,2016-10-31,339900.0
453951,for_sale,4.0,3.0,0.54,Shelton,Connecticut,6484.0,2052.0,2006-05-25,555000.0
453952,for_sale,7.0,3.0,0.17,New Britain,Connecticut,6051.0,3277.0,2019-06-17,349900.0
453956,for_sale,2.0,1.0,0.45,West Haven,Connecticut,6516.0,1048.0,2005-09-21,175000.0
453958,for_sale,3.0,2.0,0.18,Waterbury,Connecticut,6706.0,1200.0,2001-05-24,225000.0
453959,for_sale,2.0,2.0,0.17,Hamden,Connecticut,6518.0,1300.0,2017-01-13,219900.0
453964,for_sale,3.0,2.0,0.18,New Haven,Connecticut,6515.0,1150.0,2007-09-04,219900.0
453965,for_sale,2.0,2.0,0.08,Shelton,Connecticut,6484.0,1448.0,2006-04-03,289900.0
453966,for_sale,3.0,3.0,1.04,Trumbull,Connecticut,6611.0,1444.0,2019-08-28,439900.0
453969,for_sale,3.0,1.0,0.62,Granby,Connecticut,6035.0,1040.0,2021-12-29,250000.0
453972,for_sale,4.0,2.0,0.14,Bristol,Connecticut,6010.0,2370.0,1997-10-08,329900.0
453973,for_sale,3.0,3.0,0.54,Farmington,Connecticut,6085.0,2202.0,2009-08-31,499900.0
453974,for_sale,3.0,2.0,0.34,West Hartford,Connecticut,6107.0,1470.0,2021-11-05,379900.0
453976,for_sale,4.0,3.0,0.94,Trumbull,Connecticut,6611.0,1444.0,1989-01-09,425000.0
453977,for_sale,6.0,3.0,0.15,Waterbury,Connecticut,6705.0,3645.0,2004-11-24,239900.0
453979,for_sale,4.0,2.0,0.17,Stratford,Connecticut,6614.0,1802.0,2020-07-21,440000.0
453981,for_sale,4.0,5.0,4.58,Woodbridge,Connecticut,6525.0,4787.0,2012-05-31,1300000.0
453982,for_sale,4.0,3.0,1.84,Cheshire,Connecticut,6410.0,3648.0,1999-08-26,749900.0
453984,for_sale,3.0,2.0,0.17,Shelton,Connecticut,6484.0,1182.0,1999-08-27,360000.0
453987,for_sale,6.0,3.0,0.11,Waterbury,Connecticut,6705.0,3204.0,2005-08-09,249900.0
453990,for_sale,8.0,3.0,0.1,Bridgeport,Connecticut,6605.0,2744.0,1995-05-01,395000.0
453991,for_sale,9.0,3.0,0.21,Waterbury,Connecticut,6710.0,4029.0,2004-12-20,269900.0
453993,for_sale,4.0,4.0,1.61,Woodbridge,Connecticut,6525.0,3163.0,2021-11-24,875000.0
453995,for_sale,3.0,2.0,6.53,Colebrook,Connecticut,6021.0,2532.0,2016-05-13,339900.0
453996,for_sale,3.0,1.0,0.07,New Haven,Connecticut,6511.0,954.0,2001-05-04,180000.0
453998,for_sale,3.0,2.0,0.37,Bristol,Connecticut,6010.0,1338.0,2006-11-06,175000.0
454001,for_sale,3.0,2.0,0.14,Waterbury,Connecticut,6710.0,2592.0,2020-12-08,279900.0
454002,for_sale,3.0,2.0,0.23,Torrington,Connecticut,6790.0,1008.0,2001-11-02,229900.0
454005,for_sale,3.0,1.0,0.15,Waterbury,Connecticut,6706.0,1120.0,2021-11-05,229900.0
454006,for_sale,3.0,3.0,0.63,Meriden,Connecticut,6451.0,2173.0,2015-06-03,409900.0
454009,for_sale,3.0,1.0,0.46,Southington,Connecticut,6479.0,1200.0,2013-02-07,299900.0
454010,for_sale,3.0,2.0,2.1,Bristol,Connecticut,6010.0,1330.0,1998-03-27,264900.0
454011,for_sale,4.0,3.0,0.47,Centereach,New York,11720.0,3000.0,2011-02-02,689900.0
454015,for_sale,3.0,1.0,0.11,Waterbury,Connecticut,6705.0,1922.0,2008-01-16,169900.0
454016,for_sale,3.0,2.0,0.14,Hamden,Connecticut,6517.0,1577.0,2002-05-30,314900.0
454020,for_sale,3.0,3.0,0.24,Milford,Connecticut,6460.0,1862.0,2017-05-22,499900.0
454021,for_sale,4.0,4.0,3.99,Orange,Connecticut,6477.0,4020.0,2014-04-22,729900.0
454022,for_sale,5.0,6.0,5.15,Trumbull,Connecticut,6611.0,5557.0,2014-09-08,1849000.0
454023,for_sale,5.0,4.0,0.36,Coram,New York,11727.0,2450.0,2018-05-08,589990.0
454027,for_sale,3.0,2.0,0.11,Bridgeport,Connecticut,6606.0,1600.0,2017-10-20,329000.0
454029,for_sale,6.0,3.0,0.12,Hamden,Connecticut,6514.0,3150.0,2015-09-25,369900.0
454030,for_sale,4.0,3.0,0.3,Bristol,Connecticut,6010.0,2228.0,2020-12-24,399900.0
454034,for_sale,4.0,4.0,1.07,Monroe,Connecticut,6468.0,2812.0,2005-03-18,525000.0
454035,for_sale,7.0,5.0,0.11,New Haven,Connecticut,6511.0,2791.0,2008-01-17,625000.0
454036,for_sale,3.0,2.0,0.14,Bridgeport,Connecticut,6606.0,1540.0,2010-11-18,329900.0
454037,for_sale,3.0,1.0,0.12,Hamden,Connecticut,6517.0,1000.0,1995-03-09,170000.0
454039,for_sale,3.0,1.0,0.41,Watertown,Connecticut,6795.0,1743.0,2017-12-11,205000.0
454043,for_sale,4.0,2.0,0.24,New Britain,Connecticut,6053.0,1152.0,2015-03-03,219900.0
454044,for_sale,3.0,3.0,0.73,Wolcott,Connecticut,6716.0,1468.0,2008-06-30,319900.0
454045,for_sale,2.0,2.0,0.19,Bristol,Connecticut,6010.0,1044.0,1997-12-02,184900.0
454048,for_sale,4.0,1.0,0.33,Torrington,Connecticut,6790.0,1392.0,2005-07-25,180000.0
454054,for_sale,4.0,4.0,0.39,East Haven,Connecticut,6512.0,3085.0,2019-01-07,569900.0
454056,for_sale,4.0,3.0,0.56,Hamden,Connecticut,6517.0,2635.0,1991-07-16,475000.0
454059,for_sale,4.0,3.0,0.62,Cheshire,Connecticut,6410.0,2304.0,1990-09-28,509900.0
454060,for_sale,6.0,4.0,0.35,Bristol,Connecticut,6010.0,3194.0,2000-11-29,383000.0
454061,for_sale,4.0,2.0,1.21,Avon,Connecticut,6001.0,1952.0,1989-05-31,400000.0
454062,for_sale,7.0,4.0,0.14,New Haven,Connecticut,6511.0,3318.0,2006-10-05,395000.0
454063,for_sale,4.0,3.0,1.0,Trumbull,Connecticut,6611.0,2532.0,2004-07-26,599500.0
454065,for_sale,4.0,3.0,1.18,Newtown,Connecticut,6482.0,3321.0,2016-08-08,700000.0
454067,for_sale,5.0,2.0,0.33,North Haven,Connecticut,6473.0,1707.0,2018-07-20,335000.0
454072,for_sale,8.0,3.0,0.08,Bridgeport,Connecticut,6606.0,3588.0,2018-09-05,479900.0
454073,for_sale,4.0,3.0,0.55,Farmington,Connecticut,6032.0,3508.0,2012-01-10,799900.0
454074,for_sale,3.0,2.0,0.23,Selden,New York,11784.0,1770.0,2011-06-29,400000.0
454075,for_sale,3.0,2.0,0.71,Orange,Connecticut,6477.0,1510.0,2020-04-15,470000.0
454076,for_sale,3.0,2.0,0.21,Milford,Connecticut,6460.0,2124.0,2015-09-02,459000.0
454078,for_sale,3.0,2.0,0.2,Branford,Connecticut,6405.0,1575.0,2007-07-10,350000.0
454082,for_sale,2.0,1.0,0.24,Plymouth,Connecticut,6786.0,885.0,2020-09-28,199900.0
454085,for_sale,2.0,1.0,0.43,Winchester,Connecticut,6098.0,720.0,2019-08-30,189000.0
454086,for_sale,2.0,3.0,0.03,Port Jefferson,New York,11777.0,1200.0,2016-05-03,440000.0
454087,for_sale,3.0,3.0,0.88,Wading River,New York,11792.0,2000.0,2022-01-12,599000.0
454088,for_sale,2.0,2.0,0.12,Stratford,Connecticut,6615.0,1095.0,2001-01-09,309900.0
454089,for_sale,4.0,3.0,0.59,Bristol,Connecticut,6010.0,3098.0,2019-02-01,479900.0
454091,for_sale,13.0,12.0,2.62,Norfolk,Connecticut,6058.0,5988.0,2017-08-30,875000.0
454092,for_sale,3.0,1.0,0.14,West Haven,Connecticut,6516.0,1690.0,2001-05-08,295000.0
454093,for_sale,3.0,3.0,1.5,Canton,Connecticut,6019.0,2075.0,1990-06-06,359900.0
454097,for_sale,3.0,2.0,0.17,Waterbury,Connecticut,6704.0,1142.0,1993-05-21,225000.0
454101,for_sale,4.0,3.0,0.34,Coram,New York,11727.0,2584.0,2016-03-14,529000.0
454102,for_sale,4.0,3.0,2.06,Newtown,Connecticut,6470.0,2218.0,2006-01-31,475000.0
454104,for_sale,4.0,2.0,0.16,Ridge,New York,11961.0,1700.0,2002-10-07,400000.0
454107,for_sale,4.0,3.0,100.5,Blandford,Massachusetts,1008.0,3063.0,2007-08-29,1237542.0
454108,for_sale,2.0,1.0,0.07,Ridge,New York,11961.0,1138.0,2022-01-06,439000.0
454110,for_sale,4.0,3.0,1.07,Orange,Connecticut,6477.0,1548.0,2012-07-03,495000.0
454112,for_sale,4.0,3.0,0.45,Centereach,New York,11720.0,2400.0,2020-04-29,699000.0
454114,for_sale,4.0,2.0,0.15,Fairfield,Connecticut,6825.0,1484.0,1997-06-30,530000.0
454115,for_sale,4.0,3.0,0.11,Bridgeport,Connecticut,6606.0,1619.0,2021-04-22,399000.0
