,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
90082,for_sale,4.0,3.0,0.18,Worcester,Massachusetts,1606.0,1440.0,1998-04-03,390000.0
90084,for_sale,4.0,2.0,0.11,Worcester,Massachusetts,1605.0,1976.0,1995-02-01,444900.0
90087,for_sale,3.0,2.0,0.13,Spencer,Massachusetts,1562.0,1872.0,2008-07-24,197500.0
90089,for_sale,3.0,3.0,4.08,Barre,Massachusetts,1005.0,2283.0,1996-05-31,449900.0
90092,for_sale,4.0,3.0,0.36,Worcester,Massachusetts,1602.0,2133.0,2003-07-01,399000.0
90102,for_sale,4.0,1.0,0.12,Worcester,Massachusetts,1607.0,1248.0,2003-02-14,249900.0
90104,for_sale,3.0,2.0,0.54,Worcester,Massachusetts,1607.0,1536.0,2006-12-14,650000.0
90107,for_sale,3.0,2.0,0.22,Leominster,Massachusetts,1453.0,1417.0,2004-08-25,375000.0
90112,for_sale,3.0,3.0,1.95,Groton,Massachusetts,1450.0,2780.0,1993-12-20,870000.0
90113,for_sale,3.0,2.0,0.15,Worcester,Massachusetts,1604.0,1745.0,2009-11-04,389900.0
90117,for_sale,4.0,3.0,0.94,Northborough,Massachusetts,1532.0,3275.0,2002-05-29,799900.0
90118,for_sale,7.0,3.0,0.37,Worcester,Massachusetts,1605.0,2320.0,1999-11-01,640000.0
90122,for_sale,8.0,4.0,0.1,Worcester,Massachusetts,1610.0,3678.0,1993-03-08,524900.0
90132,for_sale,4.0,3.0,1.86,Ashby,Massachusetts,1431.0,2175.0,2003-09-29,439000.0
90134,for_sale,3.0,1.0,0.18,Auburn,Massachusetts,1501.0,840.0,1999-08-24,209900.0
90136,for_sale,3.0,1.0,0.12,Barre,Massachusetts,1005.0,1175.0,1996-12-13,273900.0
90137,for_sale,3.0,2.0,0.46,Gardner,Massachusetts,1440.0,1436.0,1988-01-28,324900.0
90139,for_sale,2.0,1.0,0.09,Gardner,Massachusetts,1440.0,663.0,1995-08-10,99000.0
90141,for_sale,3.0,2.0,0.52,Leominster,Massachusetts,1453.0,2484.0,2004-03-26,439900.0
90145,for_sale,2.0,1.0,0.13,Worcester,Massachusetts,1602.0,1345.0,2000-02-16,259000.0
90149,for_sale,4.0,3.0,0.79,Shirley,Massachusetts,1464.0,2903.0,2004-11-08,689900.0
90150,for_sale,3.0,1.0,0.21,Leicester,Massachusetts,1524.0,960.0,2004-05-27,315000.0
90155,for_sale,6.0,2.0,0.24,Fitchburg,Massachusetts,1420.0,2301.0,1975-03-19,509000.0
90156,for_sale,9.0,3.0,0.16,Worcester,Massachusetts,1610.0,4077.0,2000-05-11,629900.0
90160,for_sale,3.0,3.0,0.05,Worcester,Massachusetts,1604.0,1824.0,2007-07-10,449900.0
90162,for_sale,12.0,2.0,0.14,Worcester,Massachusetts,1605.0,3160.0,2007-02-08,499000.0
90173,for_sale,3.0,2.0,1.19,Templeton,Massachusetts,1468.0,1940.0,2010-10-06,379000.0
90174,for_sale,3.0,1.0,0.82,Ashburnham,Massachusetts,1430.0,1333.0,2008-05-29,239900.0
90175,for_sale,6.0,3.0,0.19,Fitchburg,Massachusetts,1420.0,3024.0,2006-11-07,399900.0
90178,for_sale,3.0,2.0,1.25,Northborough,Massachusetts,1532.0,2306.0,2002-08-01,519900.0
90179,for_sale,3.0,4.0,1.06,Spencer,Massachusetts,1562.0,4600.0,1992-12-01,950000.0
90182,for_sale,4.0,3.0,0.92,Lunenburg,Massachusetts,1462.0,2840.0,1971-07-28,624900.0
90183,for_sale,4.0,3.0,2.9,Lunenburg,Massachusetts,1462.0,3174.0,2005-12-06,779000.0
90184,for_sale,4.0,2.0,0.23,Worcester,Massachusetts,1604.0,1768.0,2004-07-01,399900.0
90186,for_sale,3.0,2.0,1.31,Lunenburg,Massachusetts,1462.0,1744.0,2003-12-16,499900.0
90187,for_sale,3.0,1.0,0.53,Holden,Massachusetts,1520.0,1198.0,1996-10-24,359900.0
90189,for_sale,3.0,3.0,1.34,Bolton,Massachusetts,1740.0,2422.0,1995-07-26,674900.0
90190,for_sale,4.0,3.0,0.51,Worcester,Massachusetts,1609.0,3040.0,1996-08-26,525000.0
90191,for_sale,5.0,4.0,0.32,Fitchburg,Massachusetts,1420.0,3325.0,2006-10-20,777000.0
90192,for_sale,9.0,3.0,0.34,Auburn,Massachusetts,1501.0,3882.0,2007-01-16,550000.0
90195,for_sale,3.0,2.0,0.16,Worcester,Massachusetts,1604.0,1151.0,2001-08-29,274865.0
90197,for_sale,4.0,2.0,0.24,Fitchburg,Massachusetts,1420.0,1740.0,1997-05-30,359900.0
90198,for_sale,3.0,1.0,0.52,Auburn,Massachusetts,1501.0,1158.0,1999-09-08,300000.0
90200,for_sale,3.0,3.0,0.29,Worcester,Massachusetts,1609.0,2080.0,2007-03-07,549000.0
90202,for_sale,2.0,1.0,0.34,Auburn,Massachusetts,1501.0,1075.0,1999-06-07,349900.0
90203,for_sale,2.0,1.0,0.29,Fitchburg,Massachusetts,1420.0,1111.0,1985-10-01,285000.0
90204,for_sale,3.0,2.0,0.2,Auburn,Massachusetts,1501.0,1201.0,2007-08-24,393000.0
90205,for_sale,3.0,2.0,0.23,Leominster,Massachusetts,1453.0,2006.0,1995-07-25,319900.0
90206,for_sale,3.0,2.0,0.12,Worcester,Massachusetts,1604.0,1332.0,2000-09-11,299000.0
90209,for_sale,3.0,2.0,0.97,Bolton,Massachusetts,1740.0,1748.0,1976-01-28,569900.0
90212,for_sale,3.0,2.0,0.86,Spencer,Massachusetts,1562.0,1521.0,2003-01-07,180000.0
90217,for_sale,4.0,2.0,0.07,Spencer,Massachusetts,1562.0,1632.0,1995-06-21,210000.0
90218,for_sale,3.0,2.0,0.2,Fitchburg,Massachusetts,1420.0,960.0,1990-09-21,209900.0
90226,for_sale,3.0,2.0,0.69,Worcester,Massachusetts,1609.0,1243.0,1995-03-23,394999.0
90228,for_sale,4.0,3.0,0.64,Fitchburg,Massachusetts,1420.0,2532.0,2002-12-31,525000.0
90230,for_sale,3.0,1.0,0.42,Shirley,Massachusetts,1464.0,1092.0,1991-09-03,379900.0
90231,for_sale,6.0,3.0,0.06,Worcester,Massachusetts,1603.0,3075.0,2017-08-01,450000.0
90233,for_sale,5.0,3.0,0.46,Holden,Massachusetts,1520.0,2200.0,2003-04-30,575000.0
90235,for_sale,5.0,2.0,0.11,Clinton,Massachusetts,1510.0,2187.0,2008-05-06,365000.0
90237,for_sale,4.0,2.0,0.24,Ashburnham,Massachusetts,1430.0,2080.0,2000-05-23,329900.0
90238,for_sale,4.0,4.0,0.49,Ayer,Massachusetts,1432.0,3684.0,2008-02-15,995000.0
90239,for_sale,2.0,2.0,0.09,Worcester,Massachusetts,1604.0,768.0,2020-01-16,329900.0
90240,for_sale,4.0,2.0,0.2,Shrewsbury,Massachusetts,1545.0,2640.0,1998-09-28,599000.0
90242,for_sale,10.0,4.0,0.11,Worcester,Massachusetts,1604.0,3290.0,2006-05-25,650000.0
90243,for_sale,5.0,3.0,0.49,Shrewsbury,Massachusetts,1545.0,2858.0,2004-07-02,995000.0
